municerca,fecha_agg,sexo,edad_diagnostico,lon,lat,distancia_rio,distancia_verde_m,distancia_grande_m,tp,t2m,d2m,t2m_min,t2m_max,tp_anom,t2m_anom,d2m_anom,t2m_min_anom,t2m_max_anom,casos,Estimación poblacional,Superficie (Km cuadrados),Proximidad al río (m) (distancia mínima),Proximidad al río (m) (distancia al centroide),Proximidad al río (m) (distancia máxima),Densidad poblacional,CALMAT I,CALMAT II,CALMAT III,CALMAT IV,CALMAT V,Hogares Pobres,Hogares Pobres No Indigentes,Hogares Indigentes,Personas Pobres,Personas Pobres No Indigentes,Personas Indigentes,UNEA: Sin Instrucción,UNEA: Primario Incompleto,UNEA: Primario Completo,UNEA: Secundario Incompleto,UNEA: Secundario Completo,UNEA: Superior y/o Universitario Incompleto,UNEA: Superior y/o Universitario Completo,Acceso a Cloacas,Acceso a Gas de Red,Acceso a Agua de Red,Acceso a Electricidad,Mujeres (%),Varones (%),Mujeres de 0 a 6 años,Varones de 0 a 6 años,Personas de 0 a 6 años,Mujeres de 7 a 14 años,Varones de 7 a 14 años,Personas de 7 a 14 años,Mujeres de 15 a 24 años,Varones de 15 a 24 años,Personas de 15 a 24 años,Mujeres de 25 a 59 años,Varones de 25 a 59 años,Personas de 25 a 59 años,Mujeres de 60 años o más,Varones de 60 años o más,Personas de 60 años o más,casos_sum_2w,casos_sum_3w,casos_sum_4w,casos_lag_1,casos_lag_2,casos_lag_3,casos_lag_4,casos_ma_4,tp_mean_1w,tp_sum_1w,tp_mean_2w,tp_sum_2w,t2m_mean_1w,t2m_mean_2w,d2m_mean_1w,d2m_mean_2w,t2m_min_mean_1w,t2m_min_mean_2w,t2m_max_mean_1w,t2m_max_mean_2w,tp_anom_mean_1w,tp_anom_sum_1w,tp_anom_mean_2w,tp_anom_sum_2w,t2m_anom_mean_1w,t2m_anom_mean_2w,d2m_anom_mean_1w,d2m_anom_mean_2w,t2m_min_anom_mean_1w,t2m_min_anom_mean_2w,t2m_max_anom_mean_1w,t2m_max_anom_mean_2w,vec_lag1,vec_lag2,vec_lag3,vec_sum_2w,vec_sum_3w,Vecinos_total
CGC 1,2025-01-15,0.0,8.0,-63.2308837,-32.4014769,2462.189932136963,368.1645054795381,2913.4078011847796,3.4315955457510214,27.557741965444983,21.110456917890094,22.646759205155135,32.00317352437205,-2.647462275454663,0.534952033012353,0.4654932901202626,0.26202337112425916,0.5530403369418074,1,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,2.0,13.0,29.0,1.0,1.0,11.0,16.0,7.25,4.4454326674666005,4.4454326674666005,2.223148732922167,4.446297465844334,27.002264586956063,24.1869073350528,16.22667901229596,14.35101703605936,20.852951764945914,17.632687983079432,32.85734536928457,30.943775699006512,-0.8220068192583894,-0.8220068192583894,-19.057818328348723,-38.11563665669745,0.4318317650464707,1.744276408284815,0.4293236896851957,2.3113474320038936,0.8528885499626543,1.5191470914623664,0.060484538160130594,1.7741245464108764,0.0,1.0,0.0,1.0,1.0,1.0
CGC 1,2025-02-26,0.0,6.0,-63.2318011,-32.3960246,3017.674128977584,409.2664910919847,2305.547424679918,0.011087772436439991,19.551708613419155,12.220194856458022,14.684150618590609,26.45730372609232,-18.248659269625527,-4.411076768321837,-3.710485630432984,-5.026101253154181,-2.943183876989277,1,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,2.0,3.0,14.0,1.0,1.0,1.0,11.0,3.5,3.4315955457510214,3.4315955457510214,3.938514106608811,7.877028213217622,27.557741965444983,27.280003276200524,21.110456917890094,18.66856796509303,22.646759205155135,21.749855485050524,32.00317352437205,32.43025944682831,-2.647462275454663,-2.647462275454663,-1.7347345473565263,-3.4694690947130526,0.534952033012353,0.4833918990294118,0.4654932901202626,0.44740848990272913,0.26202337112425916,0.5574559605434567,0.5530403369418074,0.306762437550969,7.0,3.0,0.0,10.0,10.0,10.0
CGC 1,2025-03-12,0.5,23.5,-63.231063750000004,-32.395983799999996,3042.031639266587,389.1655359195139,2328.578741003705,3.385434370845082,22.83250577364107,16.37552161532702,18.704521881975964,27.77316750489444,-34.05216408946356,2.659010820061694,3.1600521172225005,2.4588418147016595,3.2086407986227417,2,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,0.011087772436439991,0.011087772436439991,1.7213416590937307,3.4426833181874614,19.551708613419155,23.55472528943207,12.220194856458022,16.66532588717406,14.684150618590609,18.665454911872875,26.45730372609232,29.230238625232182,-18.248659269625527,-18.248659269625527,-10.448060772540096,-20.89612154508019,-4.411076768321837,-1.938062367654742,-3.710485630432984,-1.6224961701563607,-5.026101253154181,-2.3820389410149607,-2.943183876989277,-1.1950717700237348,5.0,7.0,3.0,12.0,15.0,15.0
CGC 1,2025-03-26,0.0,37.0,-63.2322705,-32.395045550000006,3111.6130005181253,326.4710543562576,2193.8806342734206,23.902838929659335,18.94441739012628,15.97439810182676,16.569981471270413,22.045234485880968,12.50601303600143,-1.944658556681582,0.012266993648726743,-0.08701756573045588,-3.580710541788302,2,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,3.0,4.0,5.0,2.0,1.0,1.0,1.0,1.25,3.385434370845082,3.385434370845082,1.698261071640761,3.396522143281522,22.83250577364107,21.192107193530113,16.37552161532702,14.297858235892523,18.704521881975964,16.69433625028329,27.77316750489444,27.115235615493376,-34.05216408946356,-34.05216408946356,-26.150411679544543,-52.30082335908909,2.659010820061694,-0.8760329741300714,3.1600521172225005,-0.2752167566052417,2.4588418147016595,-1.2836297192262607,3.2086407986227417,0.13272846081673229,11.0,5.0,7.0,16.0,23.0,23.0
CGC 1,2025-04-09,0.5,16.5,-63.2212481,-32.3949186,3482.9841152408953,218.531505923106,2662.7212851641725,20.209952760247866,16.604761166948155,12.027559749403467,14.47240314133774,19.162152210568596,-9.766947621627722,-2.452866818264384,-2.214591224870215,-0.931994441670071,-4.122356049522551,2,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,4.0,5.0,6.0,2.0,2.0,1.0,1.0,1.5,23.902838929659335,23.902838929659335,13.644136650252209,27.288273300504418,18.94441739012628,20.888461581883675,15.97439810182676,16.17495985857689,16.569981471270413,17.637251676623194,22.045234485880968,24.9092009953877,12.50601303600143,12.50601303600143,-10.773075526731064,-21.54615105346213,-1.944658556681582,0.357176131690056,0.012266993648726743,1.5861595554356136,-0.08701756573045588,1.185912124485602,-3.580710541788302,-0.1860348715827802,8.0,11.0,5.0,19.0,24.0,24.0
CGC 1,2025-04-23,0.0,16.0,-63.23007355,-32.395214800000005,3150.8945905586465,416.453270988026,2273.0125824392753,3.1320143657935766,18.123061526256674,14.009560612389306,13.657888897279134,23.56047715513204,-1.1229326248377114,2.0060565807135915,4.073421647365418,1.8023584339544805,2.247172847406347,2,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,4.0,6.0,7.0,2.0,2.0,2.0,1.0,1.75,20.209952760247866,20.209952760247866,22.0563958449536,44.1127916899072,16.604761166948155,17.774589278537217,12.027559749403467,14.000978925615115,14.47240314133774,15.52119230630408,19.162152210568596,20.60369334822478,-9.766947621627722,-9.766947621627722,1.3695327071868544,2.7390654143737088,-2.452866818264384,-2.198762687472983,-2.214591224870215,-1.101162115610744,-0.931994441670071,-0.5095060037002634,-4.122356049522551,-3.8515332956554267,7.0,8.0,11.0,15.0,26.0,26.0
CGC 1,2025-05-07,0.0,31.5,-63.23022775,-32.393823499999996,3295.061830295969,288.499795633237,2123.8531046946673,3.843037923269754,18.359305207573037,15.209053122029403,14.871292285059948,22.339156869742197,0.9684123175372539,2.9676675961838757,5.661527861845855,3.4722393472344253,2.36433319352692,2,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,4.0,6.0,8.0,2.0,2.0,2.0,2.0,2.0,3.1320143657935766,3.1320143657935766,11.670983563020721,23.341967126041443,18.123061526256674,17.363911346602414,14.009560612389306,13.018560180896388,13.657888897279134,14.06514601930844,23.56047715513204,21.361314682850313,-1.1229326248377114,-1.1229326248377114,-5.444940123232716,-10.889880246465433,2.0060565807135915,-0.22340511877539626,4.073421647365418,0.9294152112476015,1.8023584339544805,0.43518199614220476,2.247172847406347,-0.9375916010581022,8.0,7.0,8.0,15.0,23.0,23.0
CGC 2,2023-12-20,0.0,26.0,-63.2182796,-32.4179239,1150.8780808916094,377.3084215059235,1937.9044793258895,0.45073430663899655,26.978783928678233,11.649575127336798,21.51176301699137,32.06159282955161,0.3122652626233572,0.11062187949067918,-0.2542055449484937,1.3218877321606388,-0.7366919130156668,1,7820,705.9967019999999,21.95,1313.28,2166.36,11.076538994937119,68.35,21.52,10.13,0,0,40.51,34.18,6.33,50.55,44.65,5.9,0.6,6.63,14.46,29.52,28.92,7.23,12.65,81.01,55.7,91.14,98.73,53.14,46.86,4.43,3.69,8.12,7.38,9.96,17.34,7.38,7.01,14.39,26.2,18.08,44.28,7.75,8.12,15.87,,,,,,,,,0.45073430663899655,0.45073430663899655,0.22735087004690732,0.45470174009381464,26.978783928678233,26.18835224075663,11.649575127336798,13.582644284874098,21.51176301699137,20.47785094811198,32.06159282955161,31.75637912832704,0.3122652626233572,0.3122652626233572,-20.59961285893026,-41.19922571786052,0.11062187949067918,-0.565436481183246,-0.2542055449484937,-1.6793224582923867,1.3218877321606388,-0.3494538465628524,-0.7366919130156668,-0.6799052699486676,0.0,,,,,
CGC 2,2024-01-17,0.75,18.5,-63.20619815,-32.4243539,1702.4015748308047,207.88687936004422,885.3425855799802,0.003967433454818092,25.39792055283502,15.515713442411398,19.443938879232583,31.451165427102474,-41.51149098048388,-1.2414948418571712,-3.1044393716362797,-2.0207954252863436,-0.6231186268816685,4,7820,705.9967019999999,21.95,1313.28,2166.36,11.076538994937119,68.35,21.52,10.13,0,0,40.51,34.18,6.33,50.55,44.65,5.9,0.6,6.63,14.46,29.52,28.92,7.23,12.65,81.01,55.7,91.14,98.73,53.14,46.86,4.43,3.69,8.12,7.38,9.96,17.34,7.38,7.01,14.39,26.2,18.08,44.28,7.75,8.12,15.87,,,,1.0,,,,,0.45073430663899655,0.45073430663899655,0.22735087004690732,0.45470174009381464,26.978783928678233,26.18835224075663,11.649575127336798,13.582644284874098,21.51176301699137,20.47785094811198,32.06159282955161,31.75637912832704,0.3122652626233572,0.3122652626233572,-20.59961285893026,-41.19922571786052,0.11062187949067918,-0.565436481183246,-0.2542055449484937,-1.6793224582923867,1.3218877321606388,-0.3494538465628524,-0.7366919130156668,-0.6799052699486676,8.0,4.0,0.0,12.0,12.0,12.0
CGC 2,2024-01-31,0.3333333333333333,53.666666666666664,-63.218348,-32.4226421,780.5223278313124,391.1490802824723,1954.1059135366977,58.49477982724912,27.058948260078,20.275771351872685,22.45954676528072,32.64816122014596,31.24867744486502,2.371062156200688,2.8184640449472256,2.8487727038657886,2.518447497634383,3,7820,705.9967019999999,21.95,1313.28,2166.36,11.076538994937119,68.35,21.52,10.13,0,0,40.51,34.18,6.33,50.55,44.65,5.9,0.6,6.63,14.46,29.52,28.92,7.23,12.65,81.01,55.7,91.14,98.73,53.14,46.86,4.43,3.69,8.12,7.38,9.96,17.34,7.38,7.01,14.39,26.2,18.08,44.28,7.75,8.12,15.87,5.0,,,4.0,1.0,,,,0.003967433454818092,0.003967433454818092,0.22735087004690732,0.45470174009381464,25.39792055283502,26.18835224075663,15.515713442411398,13.582644284874098,19.443938879232583,20.47785094811198,31.451165427102474,31.75637912832704,-41.51149098048388,-41.51149098048388,-20.59961285893026,-41.19922571786052,-1.2414948418571712,-0.565436481183246,-3.1044393716362797,-1.6793224582923867,-2.0207954252863436,-0.3494538465628524,-0.6231186268816685,-0.6799052699486676,11.0,8.0,4.0,19.0,23.0,23.0
