municerca,date,tp,t2m,d2m,t2m_min,t2m_max,tp_anom,t2m_anom,d2m_anom,t2m_min_anom,t2m_max_anom
CGC 1,2021-01-01,0.0008557963301427662,24.281326439888588,12.392827095065417,17.810454567980436,30.987248464618638,-73.72099058330683,-1.2973740344417728,-5.229597393910471,-2.755778385772358,0.9106231856007775
CGC 1,2021-01-02,0.0,26.18188291388635,13.211275635154031,20.797034914182667,32.194952600213604,-5.26743948672499,-0.3885499080232351,-2.5860796874567344,0.7969716991994075,-0.6019082309108416
CGC 1,2021-01-03,19.166653327560102,23.350739013797195,14.608458664021128,21.57363538428971,27.730975174546504,16.30274466053144,-2.8679722034472683,0.6728072822106219,1.5387487062298124,-4.212502637720981
CGC 1,2021-01-04,3.8486168747222274,24.250227377374024,15.156126843466572,19.02156694324029,30.59253290681942,1.5823462365655783,-2.511420778020031,-0.2921740517702158,-1.0917539069503668,-2.3910522691943363
CGC 1,2021-01-05,103.60315821160289,23.358797607526444,17.004758893130266,19.095756515171438,27.00377481158279,92.44010035653858,-3.0591163743199528,2.0585922415407305,-1.4558926692826213,-4.93682853546892
CGC 1,2021-01-06,6.874906849873459,21.626579427484238,12.640653942516382,16.915215882094653,26.91300107664731,-0.2657682342486868,-3.9682237922655763,-1.3566497704192935,-3.755298542547273,-3.645193038401056
CGC 1,2021-01-07,0.0010126373476209746,23.99652082747042,9.536635208201705,16.526847291059862,31.641569484627734,-166.1336431685779,-1.466500768802362,-5.56466173891424,-3.61212358354486,0.13580456879812275
CGC 1,2021-01-08,0.039953082219943904,24.776105980726303,12.555890341629015,19.61492730998559,29.199746150029483,-12.109824014016137,-2.3205157824122407,-3.5297064695747142,-1.6928195772214414,-3.4490673701295522
CGC 1,2021-01-09,141.75798592555995,22.53857571450461,15.90851654794317,17.110724195956355,27.510226666485394,125.00321669139582,-4.133224558300739,0.3007283825328117,-4.441272307601125,-4.10991122937119
CGC 1,2021-01-10,10.012692344302364,25.573232800305096,17.7672089687635,19.89522186073773,31.743582275721657,8.112087589848839,-1.752526860324903,2.242955725271736,-1.1892380798547177,-1.239213439610372
CGC 1,2021-01-11,166.3018101130255,23.826508514598167,20.060542270883982,20.43917275920108,28.41647658075724,133.9911045759493,-3.034780668700581,4.747089561595155,-0.20178539102678456,-4.035526171637663
CGC 1,2021-01-12,16.054508347188047,22.039646462709808,11.691832313890169,16.61968034545486,26.330919639343538,-4.367342697341005,-4.633071925983865,-3.0025245136186673,-4.589212476810761,-5.642914080545785
CGC 1,2021-01-13,0.030205043067297797,23.249895130448582,15.120972714282845,19.32431081374944,28.2792157208073,-2.10442126097607,-3.75514930714152,1.8994373949091212,-1.3992300827116817,-4.827509336158849
CGC 1,2021-01-14,19.134011988709293,23.85527306225681,16.084844432724204,19.8798608698231,28.645176691568146,12.523353094532697,-3.848449142224041,2.8096011844658855,-1.4210606157144745,-5.176732895020391
CGC 1,2021-01-15,242.63840252195868,23.974416345928585,19.55150936364177,21.20219491776474,27.716657323700197,215.89511900951095,-4.163883596088014,5.7501453391615875,-0.21393732798023912,-6.8390161847168365
CGC 1,2021-01-16,63.27017488869328,21.5472268779038,18.158457013102666,18.428791227168606,25.290348921602316,5.004732631977327,-6.605322752215883,2.285356403096245,-3.6705278675347053,-8.513777999551891
CGC 1,2021-01-17,5.644818484860595,20.8461659704746,9.19578776186277,14.740436685354945,27.185875995690285,-26.799646632114083,-5.960816455941706,-7.418260798597638,-7.102782890072883,-4.233109643609384
CGC 1,2021-01-18,0.006091592833399773,22.56297617901033,10.228771562010767,15.4024445349884,29.35037863181196,-35.39429213897148,-1.8885958986045885,-7.356194189273878,-4.941177218522574,-0.11184387620980211
CGC 1,2021-01-19,0.00043511379044502974,23.486089659708387,12.360047200685297,16.848092346485874,30.49491304004842,-9.798172329256928,-0.22497706316148267,-3.4929195960988766,-2.3447166221943707,1.6606347517067122
CGC 1,2021-01-20,0.0,24.748192852064783,14.252763126933798,18.325637409142203,31.121901124342894,-13.203175957713809,0.3994842905762257,0.222907410137652,-0.028676395847566323,0.8328535198274531
CGC 1,2021-01-21,0.0,25.294296767583763,15.167707397867257,19.055273452873514,31.272523996560178,-44.44487485821758,-0.3277955929581681,0.01767642161720177,-0.46755841852250357,-1.3657242653910828
