WKT;gid
"MULTIPOLYGON (((-63.2129567753957 -32.4024868670267,-63.2139764645473 -32.4031224376931,-63.2139655250289 -32.3974099420387,-63.2129458727918 -32.3967598713047,-63.2129567753957 -32.4024868670267,-63.2129567753957 -32.4024868670267)))";"23"
"MULTIPOLYGON (((-63.2113653068517 -32.3990118830008,-63.2114092989386 -32.3951583774174,-63.2111381046917 -32.3949859543275,-63.2111248030672 -32.3990122691875,-63.2113653068517 -32.3990118830008,-63.2113653068517 -32.3990118830008)))";"24"
"MULTIPOLYGON (((-63.2113653068517 -32.3990118830008,-63.2125467348312 -32.3990099792698,-63.2125534525643 -32.395885807232,-63.2114092989386 -32.3951583774174,-63.2113653068517 -32.3990118830008,-63.2113653068517 -32.3990118830008)))";"25"
"MULTIPOLYGON (((-63.2120025376084 -32.3990108575547,-63.2120089641549 -32.4018960822662,-63.2129567753957 -32.4024868670267,-63.2129458727918 -32.3967598713047,-63.2139655250289 -32.3974099420387,-63.2139643242179 -32.3967827804353,-63.2125534525643 -32.395885807232,-63.2125467348312 -32.3990099792698,-63.2120025376084 -32.3990108575547,-63.2120025376084 -32.3990108575547)))";"26"
"MULTIPOLYGON (((-63.2076529918461 -32.4005507479411,-63.2120059520642 -32.4005438445621,-63.2120025376084 -32.3990108575547,-63.2111248030672 -32.3990122691875,-63.2076643680977 -32.3990155179239,-63.2076529918461 -32.4005507479411,-63.2076529918461 -32.4005507479411)))";"27"
"MULTIPOLYGON (((-63.2076402954981 -32.4022640873814,-63.2110388284056 -32.4022794486862,-63.2110449911504 -32.4012952083368,-63.2120089641549 -32.4018960822662,-63.2120059520642 -32.4005438445621,-63.2076529918461 -32.4005507479411,-63.2076402954981 -32.4022640873814,-63.2076402954981 -32.4022640873814)))";"28"
"MULTIPOLYGON (((-63.2076282673213 -32.4038872217171,-63.2110286940222 -32.4038979666783,-63.2110388284056 -32.4022794486862,-63.2076402954981 -32.4022640873814,-63.2076282673213 -32.4038872217171,-63.2076282673213 -32.4038872217171)))";"29"
"MULTIPOLYGON (((-63.2110286940222 -32.4038979666783,-63.2076282673213 -32.4038872217171,-63.2075977901389 -32.4079997830696,-63.2109998325785 -32.4085071293369,-63.2110286940222 -32.4038979666783,-63.2110286940222 -32.4038979666783)))";"30"
"MULTIPOLYGON (((-63.1959976982696 -32.4036121774065,-63.196041876396 -32.3981531238449,-63.195715046554 -32.398465668336,-63.1953821946385 -32.3987736052621,-63.195043410836 -32.3990768511313,-63.1946987869443 -32.3993753237228,-63.1943484163473 -32.399668942109,-63.1939923939899 -32.3999576266778,-63.1936308163523 -32.4002412991541,-63.1932637814237 -32.400519882621,-63.1928913886757 -32.400793301541,-63.1925137390356 -32.4010614817759,-63.1921309348587 -32.4013243506076,-63.1917430799009 -32.4015818367575,-63.1913502792902 -32.4018338704059,-63.1909526394986 -32.4020803832111,-63.1905502683126 -32.4023213083277,-63.1910005483884 -32.4024637815763,-63.1917313755435 -32.4026262075695,-63.1923623025296 -32.4027289328495,-63.1932603772131 -32.4029249214776,-63.194140645062 -32.4031556704652,-63.1959976982696 -32.4036121774065,-63.1959976982696 -32.4036121774065)))";"31"
"MULTIPOLYGON (((-63.1978733953157 -32.4042473851832,-63.1979440763957 -32.3960991087455,-63.1976877491192 -32.3964025569787,-63.1974261871823 -32.3967027731475,-63.19715944715 -32.3969996922683,-63.1968875867101 -32.3972932500704,-63.1966106646602 -32.3975833830101,-63.1963287408957 -32.3978700282845,-63.196041876396 -32.3981531238449,-63.1959976982696 -32.4036121774065,-63.1978733953157 -32.4042473851832,-63.1978733953157 -32.4042473851832)))";"32"
"MULTIPOLYGON (((-63.2001810370149 -32.4049022527767,-63.2002528188904 -32.3932460491063,-63.198006597721 -32.396023641312,-63.1979440763957 -32.3960991087455,-63.1978733953157 -32.4042473851832,-63.2001810370149 -32.4049022527767,-63.2001810370149 -32.4049022527767)))";"33"
"MULTIPOLYGON (((-63.2002528188904 -32.3932460491063,-63.2001810370149 -32.4049022527767,-63.2039415488866 -32.4059560478055,-63.204084176722 -32.3901118710429,-63.2034840641784 -32.3905124395371,-63.2029714614621 -32.3907757168723,-63.2028732145781 -32.3908534173445,-63.2023957051583 -32.3910927766757,-63.2012658925067 -32.3920071989989,-63.2010490576602 -32.39229948643,-63.2009153641461 -32.3924491528417,-63.2005648851127 -32.3929149647769,-63.2003566850617 -32.3931176070334,-63.2002528188904 -32.3932460491063,-63.2002528188904 -32.3932460491063)))";"34"
"MULTIPOLYGON (((-63.1964784734585 -32.4106543800048,-63.1964413065553 -32.4085913322274,-63.1968298288891 -32.4085900156109,-63.1968197189861 -32.406486647177,-63.2007519989158 -32.4064729844564,-63.2007424960603 -32.4051528906866,-63.1978734078932 -32.4043466087847,-63.1960214378465 -32.4037053063839,-63.1924381955334 -32.4028626914685,-63.1925070020043 -32.4109460763242,-63.1925093831543 -32.4109450038081,-63.1925522174624 -32.4109322773547,-63.1925968230594 -32.4109251701218,-63.1926421817844 -32.4109238443381,-63.193975226851 -32.4108549939565,-63.1957052975811 -32.4107320691239,-63.1964784734585 -32.4106543800048,-63.1964784734585 -32.4106543800048)))";"35"
"MULTIPOLYGON (((-63.1827089543203 -32.4202725536821,-63.1791251639331 -32.41544599596,-63.1754511463719 -32.4105972684776,-63.1695646062753 -32.4137666592245,-63.1638462077126 -32.4168162601934,-63.1669762603252 -32.4210590690929,-63.1743539146718 -32.4228707160931,-63.1766673499155 -32.4234544264725,-63.181534384552 -32.4208898155899,-63.1827089543203 -32.4202725536821,-63.1827089543203 -32.4202725536821)))";"36"
"MULTIPOLYGON (((-63.2040181940012 -32.4102393065839,-63.2039575048022 -32.4207414671221,-63.2074601616655 -32.420735670417,-63.2074614756513 -32.4200807370595,-63.2075378208004 -32.4200806835454,-63.2075517562636 -32.4114492314406,-63.2075631083327 -32.4082300445221,-63.2042345847062 -32.4082011740088,-63.2042024309221 -32.4102246961863,-63.2040181940012 -32.4102393065839,-63.2040181940012 -32.4102393065839)))";"37"
"MULTIPOLYGON (((-63.2039575048022 -32.4207414671221,-63.2040181940012 -32.4102393065839,-63.2007888387221 -32.4104953571521,-63.2000932503826 -32.4261537681843,-63.2038201594315 -32.4249871309663,-63.2039511475118 -32.4218415116511,-63.2039575048022 -32.4207414671221,-63.2039575048022 -32.4207414671221)))";"38"
"MULTIPOLYGON (((-63.1853980889872 -32.4238553481636,-63.1873754596937 -32.4265372352263,-63.1897721777338 -32.4271074929263,-63.1941694095345 -32.424806890987,-63.1911715322959 -32.4207749160534,-63.1853980889872 -32.4238553481636,-63.1853980889872 -32.4238553481636)))";"39"
