WKT;ENTITYID;PAR_IDPARC;NOMENCLATU;NUM_PARC;NRO_CUENTA;DESIG_OFIC;FXF;VUT_VIGENT;VALUACION;VIGENCIA_D;PORCENTAJE;SUPERFICIE;VALUACION2;SUPERFICI1;VALUACION1;CANTIDAD_C;NRO_CUENT2;PED_NOMENC
"MULTIPOLYGON (((-63.244301880224 -32.4165985755505,-63.24420495023 -32.4167069652382,-63.2444056187664 -32.4168328218622,-63.2445026688065 -32.4167249865749,-63.244301880224 -32.4165985755505)))";"332487802";"763743";"1604220101030038";"038";EDIFICADO NoPH;MZ 32 LT 38;1.200000000000000;10080.00000;5025047.6800000;"0";0.0000000;357.00000;4318272.0000;247.0000;706775.6800;"1";"160423049801";"1604"
"MULTIPOLYGON (((-63.2340355504398 -32.4045635461111,-63.2340557549379 -32.4045409646635,-63.2337030534171 -32.4043102621548,-63.2336854990146 -32.4043300206422,-63.2338658389318 -32.4044466327391,-63.2338174794726 -32.4045002642941,-63.2339908362227 -32.4046137893734,-63.2340355504398 -32.4045635461111)))";"1412027004";"776925";"1604220201068048";"048";EDIFICADO NoPH;LT 2;0.500000000000000;4620.00000;740795.4400000;"0";0.0000000;273.00000;630630.0000;85.0000;110165.4400;"1";"160418269208";"1604"
"MULTIPOLYGON (((-63.2809161176535 -32.4092261616132,-63.2805450604656 -32.4092030507796,-63.2805350578525 -32.4093186151221,-63.2809061155112 -32.4093417259823,-63.2809161176535 -32.4092261616132)))";"585254002";"2125879";"1604220103181024";"024";EDIFICADO NoPH;MZ 181 LOTE 24;1.200000000000000;1680.00000;3680493.6200000;"0";0.0000000;449.75000;906696.0000;137.9100;2773797.6200;"1";"160440444684";"1604"
"MULTIPOLYGON (((-63.2498159068301 -32.4185434356905,-63.2498824791459 -32.418468908927,-63.2496711596883 -32.4183399824152,-63.2496368830812 -32.4183191972552,-63.2495978031236 -32.4183637988112,-63.2495746195143 -32.4183900519783,-63.2498159068301 -32.4185434356905)))";"725190802";"766187";"1604220102012029";"029";EDIFICADO NoPH;MZ B LTE 9;1.000000000000000;8820.00000;5382580.6400000;"0";0.0000000;285.00000;2513700.0000;269.0000;2868880.6400;"1";"160405097882";"1604"
"MULTIPOLYGON (((-63.231443640398 -32.4127886887387,-63.2314336576995 -32.4127822257027,-63.2314240079268 -32.4127760438534,-63.2314382524668 -32.412760236963,-63.2313533985266 -32.4127048784322,-63.231270546543 -32.4126528977541,-63.2312532438701 -32.4126419393583,-63.2311893187812 -32.4127167333213,-63.231218599523 -32.4127349965147,-63.2312571978296 -32.4127594421737,-63.2313613469923 -32.4128254736949,-63.2314578426304 -32.4128864468103,-63.2315075317163 -32.412830841182,-63.231443640398 -32.4127886887387)))";"812845202";"784978";"1604220301036065";"065";EDIFICADO NoPH;MZ T LT B;0.500000000000000;4760.00000;1991986.0800000;"0";0.0000000;299.00000;711620.0000;173.0000;1280366.0800;"1";"160422300730";"1604"
"MULTIPOLYGON (((-63.2203772045222 -32.411896969527,-63.2205888966284 -32.4116653597791,-63.2205020275965 -32.4116082285545,-63.2202903361867 -32.4118398372982,-63.2203772045222 -32.411896969527)))";"708006202";"1995392";"1604220302430018";"018";BALDIO;LOTE 18;1.000000000000000;2380.00000;799680.0000000;"0";0.0000000;336.00000;799680.0000;0.0000;0.0000;"1";"160425969916";"1604"
"MULTIPOLYGON (((-63.2212866615524 -32.409891454626,-63.221494681535 -32.4100353143031,-63.2215730611519 -32.4099499395254,-63.2213605234145 -32.4098145991396,-63.2212866615524 -32.409891454626)))";"239554602";"2098589";"1604220302394002";"002";EDIFICADO NoPH;MZA.:394 - LTE.: 2;1.100000000000000;2240.00000;3740610.2400000;"0";0.0000000;300.00000;739200.0000;168.1500;3001410.2400;"1";"160440123497";"1604"
"MULTIPOLYGON (((-63.2346810311199 -32.402019672288,-63.2347413044127 -32.4019496738435,-63.2346112105481 -32.4018659399244,-63.2345044077975 -32.4017973796909,-63.2344248885851 -32.4017465219698,-63.2343612993565 -32.4018187808252,-63.2344917199901 -32.4019005418015,-63.2345988521034 -32.4019679742346,-63.2346810311199 -32.402019672288)))";"1366058";"777410";"1604220201079037";"037";EDIFICADO NoPH;MZ A LT 28;0.900000000000000;3640.00000;3167956.8000000;"0";0.0000000;374.00000;1225224.0000;240.0000;1942732.8000;"1";"160417762547";"1604"
"MULTIPOLYGON (((-63.242751377086 -32.4087258551748,-63.2427207628081 -32.408706188227,-63.242542575966 -32.4089051994615,-63.2426490587007 -32.4089729079845,-63.2428279075568 -32.4087730499298,-63.242751377086 -32.4087258551748)))";"1368638";"774681";"1604220201023018";"018";EDIFICADO NoPH;MZ 64;1.100000000000000;17920.00000;8789559.6800000;"0";0.0000000;336.00000;6623232.0000;346.0000;2166327.6800;"1";"160401793566";"1604"
"MULTIPOLYGON (((-63.2500287456117 -32.4178979771616,-63.2500383971909 -32.4179041575724,-63.2501235972346 -32.4179586573461,-63.2502141207403 -32.4180159644732,-63.2502560556287 -32.4180429338299,-63.2502613805474 -32.4180463048336,-63.2503156972059 -32.4179853284989,-63.2500830615618 -32.4178367191287,-63.2500287456117 -32.4178979771616)))";"1357900";"766156";"1604220102011028";"028";EDIFICADO NoPH;MZ A LT 28;1.000000000000000;8820.00000;2341204.0000000;"0";0.0000000;233.00000;2055060.0000;100.0000;286144.0000;"1";"160423010310";"1604"
