WKT;gid
"MULTILINESTRING ((-63.2377854719079 -32.4234502448131,-63.2374923731109 -32.4239048308975))";"56"
"MULTILINESTRING ((-63.2378049938726 -32.4224797304593,-63.237757792181 -32.4225779629017,-63.2372834218451 -32.422917172476))";"57"
"MULTILINESTRING ((-63.237318386787 -32.4214095535689,-63.237408931373 -32.4217607967189,-63.2378049938726 -32.4224797304593))";"58"
"MULTILINESTRING ((-63.2378049938726 -32.4224797304593,-63.238077007587 -32.4227686336849))";"59"
"MULTILINESTRING ((-63.238077007587 -32.4227686336849,-63.2377854719079 -32.4234502448131))";"60"
"MULTILINESTRING ((-63.2383968041473 -32.4217930176969,-63.2378049938726 -32.4224797304593))";"61"
"MULTILINESTRING ((-63.2372872530167 -32.4210911124982,-63.2383968041473 -32.4217930176969))";"62"
"MULTILINESTRING ((-63.2387568860155 -32.4213845624788,-63.2383968041473 -32.4217930176969))";"63"
"MULTILINESTRING ((-63.2376556105464 -32.4206753405775,-63.2387568860155 -32.4213845624788))";"64"
"MULTILINESTRING ((-63.2387592037554 -32.4220222788353,-63.238077007587 -32.4227686336849))";"65"
"MULTILINESTRING ((-63.2383968041473 -32.4217930176969,-63.2387592037554 -32.4220222788353))";"66"
"MULTILINESTRING ((-63.2391229004529 -32.4209693317961,-63.2387568860155 -32.4213845624788))";"67"
"MULTILINESTRING ((-63.2387568860155 -32.4213845624788,-63.2392530602622 -32.4217054574158))";"68"
"MULTILINESTRING ((-63.2392530602622 -32.4217054574158,-63.2387592037554 -32.4220222788353))";"69"
"MULTILINESTRING ((-63.2667566499676 -32.4182486314287,-63.2665966954893 -32.4187702740063))";"70"
"MULTILINESTRING ((-63.2665966954893 -32.4187702740063,-63.266464763527 -32.4192425808275,-63.2664718977475 -32.4193536121419))";"71"
"MULTILINESTRING ((-63.2662499526234 -32.4204885779097,-63.2667120717816 -32.4207777920996))";"72"
"MULTILINESTRING ((-63.2662274819846 -32.4217786742604,-63.2669481723021 -32.422237855239))";"73"
"MULTILINESTRING ((-63.2669481723021 -32.422237855239,-63.2667543458452 -32.4224510796004))";"74"
"MULTILINESTRING ((-63.2667543458452 -32.4224510796004,-63.2662135605741 -32.4230476512507))";"75"
"MULTILINESTRING ((-63.2710929606027 -32.4147421930161,-63.271044663494 -32.4154778579994))";"76"
"MULTILINESTRING ((-63.2711828890868 -32.4137086789735,-63.2710929606027 -32.4147421930161))";"77"
"MULTILINESTRING ((-63.2712299335136 -32.4131945775659,-63.2711828890868 -32.4137086789735))";"78"
"MULTILINESTRING ((-63.2712682647183 -32.4126819376661,-63.2712299335136 -32.4131945775659))";"79"
"MULTILINESTRING ((-63.2711828890868 -32.4137086789735,-63.272393718785 -32.4137767648823))";"80"
"MULTILINESTRING ((-63.272393718785 -32.4137767648823,-63.2723664133453 -32.41414548043))";"81"
"MULTILINESTRING ((-63.2724379975706 -32.4132643823636,-63.272393718785 -32.4137767648823))";"82"
"MULTILINESTRING ((-63.2712299335136 -32.4131945775659,-63.2724379975706 -32.4132643823636))";"83"
"MULTILINESTRING ((-63.2712682647183 -32.4126819376661,-63.2724786674597 -32.4127539914535))";"84"
"MULTILINESTRING ((-63.2724786674597 -32.4127539914535,-63.2724379975706 -32.4132643823636))";"85"
"MULTILINESTRING ((-63.272393718785 -32.4137767648823,-63.2732738996136 -32.4138332026256))";"86"
"MULTILINESTRING ((-63.2724379975706 -32.4132643823636,-63.2733175475727 -32.4133247889067))";"87"
"MULTILINESTRING ((-63.2733175475727 -32.4133247889067,-63.2732738996136 -32.4138332026256))";"88"
"MULTILINESTRING ((-63.2724786674597 -32.4127539914535,-63.2733581970369 -32.4128092577761))";"89"
"MULTILINESTRING ((-63.2733581970369 -32.4128092577761,-63.2733175475727 -32.4133247889067))";"90"
"MULTILINESTRING ((-63.272111712923 -32.4062756733615,-63.2720217714752 -32.4072990895922))";"91"
"MULTILINESTRING ((-63.2721446368906 -32.4058125290293,-63.272111712923 -32.4062756733615))";"92"
"MULTILINESTRING ((-63.2725686179144 -32.4117336417271,-63.2724786674597 -32.4127539914535))";"93"
"MULTILINESTRING ((-63.2726609327891 -32.4106164381743,-63.2725686179144 -32.4117336417271))";"94"
"MULTILINESTRING ((-63.2717726205801 -32.4103901229015,-63.2729727565422 -32.4104517338497))";"95"
"MULTILINESTRING ((-63.2718501750588 -32.409346174034,-63.2730576616361 -32.4094175975023))";"96"
"MULTILINESTRING ((-63.2730576616361 -32.4094175975023,-63.2729727565422 -32.4104517338497))";"97"
"MULTILINESTRING ((-63.2730921099128 -32.409066740082,-63.2730576616361 -32.4094175975023))";"98"
"MULTILINESTRING ((-63.2719374609064 -32.4083221327466,-63.2731379430813 -32.4084018667645))";"99"
"MULTILINESTRING ((-63.2731379430813 -32.4084018667645,-63.2730921099128 -32.409066740082))";"100"
"MULTILINESTRING ((-63.2732151579952 -32.4076743435045,-63.2731379430813 -32.4084018667645))";"101"
"MULTILINESTRING ((-63.2720217714752 -32.4072990895922,-63.2720834808309 -32.4073053281322,-63.2732398787339 -32.4073764400856))";"102"
"MULTILINESTRING ((-63.2732398787339 -32.4073764400856,-63.2732151579952 -32.4076743435045))";"103"
"MULTILINESTRING ((-63.2733141826299 -32.4063536881862,-63.2732398787339 -32.4073764400856))";"104"
"MULTILINESTRING ((-63.272111712923 -32.4062756733615,-63.2733141826299 -32.4063536881862))";"105"
"MULTILINESTRING ((-63.2733421164817 -32.4060180072009,-63.2733141826299 -32.4063536881862))";"106"
"MULTILINESTRING ((-63.2725686179144 -32.4117336417271,-63.2734471708404 -32.411785573089))";"107"
"MULTILINESTRING ((-63.2653924047467 -32.4112970001067,-63.2666091703849 -32.4113716218779))";"108"
"MULTILINESTRING ((-63.2666091703849 -32.4113716218779,-63.2678192216251 -32.4114397535268))";"109"
"MULTILINESTRING ((-63.2691069052029 -32.4115110123812,-63.2690177777547 -32.412541579767))";"110"
"MULTILINESTRING ((-63.2678192216251 -32.4114397535268,-63.2691069052029 -32.4115110123812))";"111"
"MULTILINESTRING ((-63.2691069052029 -32.4115110123812,-63.2698108075224 -32.4115375836717))";"112"
"MULTILINESTRING ((-63.2698108075224 -32.4115375836717,-63.2697212161967 -32.4125818272945))";"113"
"MULTILINESTRING ((-63.2707308425676 -32.4115984627085,-63.2706286047446 -32.4126404797157))";"114"
"MULTILINESTRING ((-63.2698108075224 -32.4115375836717,-63.2707308425676 -32.4115984627085))";"115"
"MULTILINESTRING ((-63.2707308425676 -32.4115984627085,-63.2713464686409 -32.4116393406968))";"116"
"MULTILINESTRING ((-63.2713464686409 -32.4116393406968,-63.2712682647183 -32.4126819376661))";"117"
"MULTILINESTRING ((-63.2714038373876 -32.4110946473364,-63.2698547205895 -32.4109961194))";"118"
"MULTILINESTRING ((-63.2714612054692 -32.4105499539065,-63.2713464686409 -32.4116393406968))";"119"
"MULTILINESTRING ((-63.2713464686409 -32.4116393406968,-63.2725686179144 -32.4117336417271))";"120"
"MULTILINESTRING ((-63.2646846411886 -32.4019035454818,-63.2627316419979 -32.4021720269232))";"121"
"MULTILINESTRING ((-63.2646846411886 -32.4019035454818,-63.2636397930632 -32.4030789206232))";"122"
"MULTILINESTRING ((-63.2625491927879 -32.4023753023508,-63.2636397930632 -32.4030789206232))";"123"
"MULTILINESTRING ((-63.2636397930632 -32.4030789206232,-63.2627938274393 -32.4040443944365))";"124"
"MULTILINESTRING ((-63.2627938274393 -32.4040443944365,-63.2636293024568 -32.4045890649721))";"125"
"MULTILINESTRING ((-63.2714838048521 -32.4062389734958,-63.272111712923 -32.4062756733615))";"126"
"MULTILINESTRING ((-63.271395241472 -32.407263468446,-63.2720217714752 -32.4072990895922))";"127"
"MULTILINESTRING ((-63.2713059169688 -32.4082829149825,-63.2719374609064 -32.4083221327466))";"128"
"MULTILINESTRING ((-63.2720217714752 -32.4072990895922,-63.2719374609064 -32.4083221327466))";"129"
"MULTILINESTRING ((-63.2719374609064 -32.4083221327466,-63.2718501750588 -32.409346174034))";"130"
"MULTILINESTRING ((-63.271217250465 -32.4093097542744,-63.2718501750588 -32.409346174034))";"131"
"MULTILINESTRING ((-63.2718501750588 -32.409346174034,-63.2717726205801 -32.4103901229015))";"132"
"MULTILINESTRING ((-63.2717726205801 -32.4103901229015,-63.2717648567916 -32.4105662524092))";"133"
"MULTILINESTRING ((-63.2714612054692 -32.4105499539065,-63.2717648567916 -32.4105662524092))";"134"
"MULTILINESTRING ((-63.2662683629985 -32.415355032837,-63.2672269673185 -32.415973500756))";"135"
"MULTILINESTRING ((-63.2672269473116 -32.4159667131457,-63.2664872140283 -32.4167883352328))";"136"
"MULTILINESTRING ((-63.2672269673185 -32.415973500756,-63.2677967640713 -32.4163254180645))";"137"
"MULTILINESTRING ((-63.2678875471373 -32.4152081316983,-63.2672269673185 -32.415973500756))";"138"
"MULTILINESTRING ((-63.2686106776334 -32.4143887910454,-63.2678875471373 -32.4152081316983))";"139"
"MULTILINESTRING ((-63.2688568256596 -32.4144040467929,-63.2686547047389 -32.4156856005234))";"140"
"MULTILINESTRING ((-63.2686106776334 -32.4143887910454,-63.268687931383 -32.4144248516157,-63.2688568256596 -32.4144040467929))";"141"
"MULTILINESTRING ((-63.2689287692886 -32.4135706719691,-63.2688568256596 -32.4144040467929))";"142"
"MULTILINESTRING ((-63.2689737913815 -32.4130514356657,-63.2689287692886 -32.4135706719691))";"143"
"MULTILINESTRING ((-63.2690177777547 -32.412541579767,-63.2689737913815 -32.4130514356657))";"144"
"MULTILINESTRING ((-63.2690177777547 -32.412541579767,-63.2697212161967 -32.4125818272945))";"145"
"MULTILINESTRING ((-63.2697212161967 -32.4125818272945,-63.2706286047446 -32.4126404797157))";"146"
"MULTILINESTRING ((-63.271044663494 -32.4154778579994,-63.2709735963309 -32.4154602462886,-63.2707452796159 -32.415436479885,-63.2701631981732 -32.4154233913595,-63.2699495609221 -32.4154381871273,-63.2686547047389 -32.4156856005234))";"147"
"MULTILINESTRING ((-63.2689737913815 -32.4130514356657,-63.2712299335136 -32.4131945775659))";"148"
"MULTILINESTRING ((-63.2706286047446 -32.4126404797157,-63.2712682647183 -32.4126819376661))";"149"
"MULTILINESTRING ((-63.2625882058939 -32.4143695742751,-63.2626728514367 -32.4143716272519,-63.26357991699 -32.4149539939224))";"150"
"MULTILINESTRING ((-63.26357991699 -32.4149539939224,-63.262855441817 -32.4157668159596))";"151"
"MULTILINESTRING ((-63.262855441817 -32.4157668159596,-63.2638209475142 -32.4163887220801))";"152"
"MULTILINESTRING ((-63.2638209475142 -32.4163887220801,-63.2631041148843 -32.4172006276347))";"153"
"MULTILINESTRING ((-63.2633395004021 -32.4135083524365,-63.2643206947369 -32.4141220162581))";"154"
"MULTILINESTRING ((-63.2643206947369 -32.4141220162581,-63.26357991699 -32.4149539939224))";"155"
"MULTILINESTRING ((-63.26357991699 -32.4149539939224,-63.2645531441915 -32.4155637948605))";"156"
"MULTILINESTRING ((-63.2645531441915 -32.4155637948605,-63.2638209475142 -32.4163887220801))";"157"
"MULTILINESTRING ((-63.2638209475142 -32.4163887220801,-63.2648008156968 -32.4170096887622))";"158"
"MULTILINESTRING ((-63.2643206947369 -32.4141220162581,-63.2652786045917 -32.4147301304818))";"159"
"MULTILINESTRING ((-63.2652786045917 -32.4147301304818,-63.2645531441915 -32.4155637948605))";"160"
"MULTILINESTRING ((-63.265533653642 -32.4161872795029,-63.2648008156968 -32.4170096887622))";"161"
"MULTILINESTRING ((-63.2645531441915 -32.4155637948605,-63.265533653642 -32.4161872795029))";"162"
"MULTILINESTRING ((-63.2652786045917 -32.4147301304818,-63.2662683629985 -32.415355032837))";"163"
