WKT;Id;tipos
"MULTILINESTRING ((-63.3022402312712 -32.4192641034713,-63.3016171226425 -32.4196499765959,-63.3010269007274 -32.4201303897826,-63.3003268700839 -32.4205009942409,-63.2996739899745 -32.4209616298309,-63.2992084558738 -32.4213239023066,-63.2983777651551 -32.4217775207084,-63.2975695170837 -32.4219731791001,-63.2969723079779 -32.421904390572,-63.2962776732246 -32.4213657379769,-63.2958109861289 -32.4205696246962,-63.2955194963911 -32.4194553520946,-63.2953168468512 -32.4185656154031,-63.2949874206661 -32.4176459673028,-63.2946854466629 -32.4170969236609,-63.2941652111754 -32.4166785802495,-63.2936559898343 -32.41630081038,-63.2929010548267 -32.4159576581038,-63.2923311209999 -32.4157501609999,-63.2915558979039 -32.4158478493754,-63.2908817951378 -32.4164190924349,-63.2896265176041 -32.4173223830238,-63.2888859378056 -32.4182957346306,-63.2884578138874 -32.419027321855,-63.2881174359999 -32.4198160639999,-63.2877125924103 -32.4201441158737,-63.2871433729999 -32.4202440889999,-63.2865184224891 -32.4197597853242,-63.28591685 -32.4191046999999,-63.2856308209999 -32.4181834859999,-63.285798985 -32.4174930599999,-63.2857909396636 -32.4168773062041,-63.2856275289999 -32.4161128719999,-63.2854007229999 -32.4154587419999))";"0";"1"
"MULTILINESTRING ((-63.2853105264768 -32.4152713535514,-63.2847932 -32.4145554999999,-63.2840364552127 -32.4139469049304,-63.2836468042367 -32.4137348299654,-63.2829513699999 -32.41372603,-63.2821672516267 -32.4136791269898,-63.2811648231386 -32.4138377728824,-63.2801909035466 -32.4139953515792,-63.2791358362226 -32.4146260335239,-63.2786261315274 -32.4150943572707,-63.2783123923057 -32.4153974697244,-63.2772944893045 -32.4166165104742,-63.2768749292478 -32.4173812461019,-63.2764022933864 -32.4178381325775,-63.2761995479958 -32.4181317335044,-63.2760649696593 -32.4181564054728))";"0";"2"
"MULTILINESTRING ((-63.2759203627674 -32.4181438309604,-63.2753417805486 -32.4180832170787,-63.2745492710948 -32.4178518586685,-63.2738154621966 -32.4172873687597,-63.2732452924452 -32.4166988670204,-63.2725040835286 -32.416012562468,-63.2716805180657 -32.4155184231903,-63.2709342687641 -32.4151398456135,-63.2700903510506 -32.4151606588184,-63.2688326380129 -32.4152572775942,-63.2684823388513 -32.4154772449172,-63.267796034299 -32.4159302059218,-63.2672394417143 -32.4168930324826))";"0";"3"
"MULTILINESTRING ((-63.2672781912415 -32.4170675849148,-63.2672781912415 -32.4172932943517,-63.2670605428559 -32.4178736900467,-63.2666162996255 -32.4184594095715,-63.2663673381496 -32.4191719323535,-63.2667583169787 -32.4194274812077,-63.2667945281623 -32.4197035486964,-63.2666975369908 -32.420687142572,-63.2666968525828 -32.4208374792681,-63.2670289701611 -32.4215373523218,-63.2670528669507 -32.4222332201032,-63.2671920862928 -32.422793251446,-63.2670389730688 -32.4234703860982))";"0";"1"
"MULTILINESTRING ((-63.2669650792945 -32.4235362037888,-63.2664783295583 -32.4244266562808,-63.2657233945505 -32.4250168781958,-63.2647059497013 -32.424930013858,-63.2642017168215 -32.424683615256,-63.2637880157127 -32.4241795866419,-63.2634577988331 -32.4235200408667))";"0";"2"
"MULTILINESTRING ((-63.2634174112544 -32.4234109255432,-63.2631940340578 -32.4225062279257,-63.2625684525486 -32.4217753557944,-63.2623001999999 -32.4214444999999,-63.2620859804227 -32.4208441465171,-63.2620448021495 -32.4198284157795,-63.2620900999999 -32.4191853999999,-63.2619761716943 -32.4184695327656,-63.2613642951104 -32.417485737446,-63.2605785210979 -32.4170826319445,-63.2597568297503 -32.4165286160617))";"0";"3"
