id,paradas,linea,lon,lat
paradas_omnibus.112,,17 B,-63.2086169,-32.4287692
paradas_omnibus.113,,17 B,-63.2086444,-32.4262799
paradas_omnibus.114,,17 B,-63.2086365,-32.4242625
paradas_omnibus.115,,17 B,-63.2123058,-32.4224693
paradas_omnibus.116,,17 B,-63.2169696,-32.4210307
paradas_omnibus.117,,17 B,-63.2224816,-32.4191763
paradas_omnibus.118,,17 B,-63.227064,-32.4179423
paradas_omnibus.119,,17 B,-63.2294499,-32.4170615
paradas_omnibus.120,,17 B,-63.2332211,-32.4146147
paradas_omnibus.121,,17 B,-63.2361124,-32.4113161
paradas_omnibus.122,,17 B,-63.2373596,-32.4097977
paradas_omnibus.123,,17 B,-63.2396465,-32.4073014
paradas_omnibus.124,,17 B,-63.2427968,-32.4046746
paradas_omnibus.125,,17 B,-63.2447092,-32.4058986
paradas_omnibus.126,,17 B,-63.2468402,-32.407247
paradas_omnibus.127,,17 B,-63.21102,-32.431769
paradas_omnibus.128,,19,-63.2433518,-32.4133279
paradas_omnibus.129,,19,-63.2466348,-32.4162805
paradas_omnibus.130,,19,-63.2487806,-32.4177115
paradas_omnibus.131,,19,-63.2507775,-32.4175225
paradas_omnibus.132,,19,-63.252643,-32.4155197
paradas_omnibus.133,,19,-63.2542523,-32.4137445
paradas_omnibus.134,,19,-63.2590373,-32.4125671
paradas_omnibus.135,,19,-63.2613991,-32.4137397
paradas_omnibus.136,,19,-63.2635824,-32.4148787
paradas_omnibus.137,,19,-63.2649396,-32.4134612
paradas_omnibus.138,,19,-63.2687672,-32.4135314
paradas_omnibus.139,,19,-63.2712347,-32.4128385
paradas_omnibus.140,,19,-63.2717229,-32.4103477
paradas_omnibus.141,,19,-63.2722438,-32.4073699
paradas_omnibus.142,,19,-63.2730887,-32.4102367
paradas_omnibus.143,,19,-63.2736681,-32.4108119
paradas_omnibus.144,,19,-63.2735224,-32.4127748
paradas_omnibus.145,,19,-63.2734259,-32.4148104
paradas_omnibus.146,,19,-63.2709796,-32.4155713
paradas_omnibus.147,,19,-63.2673003,-32.4160671
paradas_omnibus.148,,19,-63.2659336,-32.4175853
paradas_omnibus.149,,19,-63.2641661,-32.41808
paradas_omnibus.150,,19,-63.2622671,-32.416966
paradas_omnibus.151,,19,-63.2604861,-32.4159245
paradas_omnibus.152,,19,-63.25804,-32.4145659
paradas_omnibus.153,,19,-63.2564736,-32.4146745
paradas_omnibus.154,,19,-63.2535312,-32.4162574
paradas_omnibus.155,,19,-63.2504117,-32.4198823
paradas_omnibus.156,,19,-63.2484054,-32.4188408
paradas_omnibus.157,,19,-63.2460987,-32.417437
paradas_omnibus.158,,19,-63.2442458,-32.4162262
paradas_omnibus.159,,19,-63.2456083,-32.413817
paradas_omnibus.160,,19,-63.2473357,-32.4114892
paradas_omnibus.161,,19,-63.2462539,-32.4100763
paradas_omnibus.162,,19,-63.2689396,-32.4156709
paradas_omnibus.163,,19,-63.255419,-32.4142942
paradas_omnibus.164,,19,-63.2522035,-32.4177902
paradas_omnibus.165,,20,-63.2461827,-32.410251
paradas_omnibus.166,,20,-63.2488926,-32.4114404
paradas_omnibus.167,,20,-63.2525614,-32.4096782
paradas_omnibus.168,,20,-63.2552028,-32.406706
paradas_omnibus.169,,20,-63.2578072,-32.4038169
paradas_omnibus.170,,20,-63.2610476,-32.4057847
paradas_omnibus.171,,20,-63.2595604,-32.4077696
paradas_omnibus.172,,20,-63.2605217,-32.4104494
paradas_omnibus.173,,20,-63.2649338,-32.4132386
paradas_omnibus.174,,20,-63.2687098,-32.4135264
paradas_omnibus.175,,20,-63.2712105,-32.4128348
paradas_omnibus.176,,20,-63.2716826,-32.4102933
paradas_omnibus.177,,20,-63.2722377,-32.4072741
paradas_omnibus.178,,20,-63.2730643,-32.4103144
paradas_omnibus.179,,20,-63.273522,-32.4127243
paradas_omnibus.180,,20,-63.2710074,-32.4127585
paradas_omnibus.181,,20,-63.2666712,-32.412485
paradas_omnibus.182,,20,-63.2635226,-32.4134413
paradas_omnibus.183,,20,-63.2590137,-32.4108567
paradas_omnibus.184,,20,-63.2555587,-32.4085274
paradas_omnibus.185,,20,-63.2534089,-32.407139
paradas_omnibus.186,,20,-63.2502875,-32.4104427
paradas_omnibus.187,,20,-63.2736913,-32.4108129
paradas_omnibus.188,,20,-63.2435243,-32.4134468
paradas_omnibus.189,,20,-63.2461724,-32.4129938
paradas_omnibus.190,,102,-63.2467983,-32.4095011
paradas_omnibus.191,,102,-63.2432873,-32.413749
paradas_omnibus.192,,102,-63.2410326,-32.4160351
paradas_omnibus.193,,102,-63.2383933,-32.4181047
paradas_omnibus.194,,102,-63.2350888,-32.4166375
paradas_omnibus.195,,102,-63.2327606,-32.4145769
paradas_omnibus.196,,102,-63.2360034,-32.4113865
paradas_omnibus.197,,102,-63.2378098,-32.4093622
paradas_omnibus.198,,102,-63.2395144,-32.4073807
paradas_omnibus.199,,102,-63.241231,-32.4055963
paradas_omnibus.200,,102,-63.2442847,-32.4020896
paradas_omnibus.201,,102,-63.2479254,-32.3989963
paradas_omnibus.202,,102,-63.2523734,-32.4019698
paradas_omnibus.203,,102,-63.2569224,-32.3991477
paradas_omnibus.204,,102,-63.2598353,-32.394614
paradas_omnibus.205,,102,-63.2605491,-32.3825861
paradas_omnibus.206,,102,-63.2459365,-32.3928509
paradas_omnibus.207,,102,-63.2455127,-32.3942415
paradas_omnibus.208,,102,-63.2437693,-32.3952607
paradas_omnibus.209,,102,-63.2445181,-32.3966492
paradas_omnibus.210,,102,-63.2473694,-32.3984349
paradas_omnibus.211,,102,-63.2428166,-32.4046191
paradas_omnibus.212,,102,-63.2446657,-32.4058447
paradas_omnibus.213,,102,-63.2468919,-32.4072623
paradas_omnibus.214,,102,-63.2472792,-32.3987411
paradas_omnibus.215,,102,-63.2581981,-32.3837867
paradas_omnibus.216,,102,-63.2508728,-32.3884527
paradas_omnibus.217,,102,-63.2482818,-32.3913224
paradas_omnibus.218,,102,-63.2443499,-32.4026483
paradas_omnibus.219,,102,-63.2467273,-32.4096915
paradas_omnibus.220,,103,-63.2467983,-32.4095011
paradas_omnibus.221,,103,-63.2432873,-32.413749
paradas_omnibus.222,,103,-63.2410326,-32.4160351
paradas_omnibus.223,,103,-63.2383933,-32.4181047
paradas_omnibus.224,,103,-63.2350888,-32.4166375
paradas_omnibus.225,,103,-63.2327606,-32.4145769
paradas_omnibus.226,,103,-63.2360034,-32.4113865
paradas_omnibus.227,,103,-63.2378098,-32.4093622
paradas_omnibus.228,,103,-63.2395144,-32.4073807
paradas_omnibus.229,,103,-63.241231,-32.4055963
paradas_omnibus.230,,103,-63.2442847,-32.4020896
paradas_omnibus.231,,103,-63.2506291,-32.3952232
paradas_omnibus.232,,103,-63.2527811,-32.3964983
paradas_omnibus.233,,103,-63.2544656,-32.3975084
paradas_omnibus.234,,103,-63.256386,-32.3986948
paradas_omnibus.235,,103,-63.2598353,-32.394614
paradas_omnibus.236,,103,-63.2605491,-32.3825861
paradas_omnibus.237,,103,-63.2467519,-32.3928328
paradas_omnibus.238,,103,-63.2455127,-32.3942415
paradas_omnibus.239,,103,-63.2437693,-32.3952607
paradas_omnibus.240,,103,-63.2445181,-32.3966492
paradas_omnibus.241,,103,-63.2473694,-32.3984349
paradas_omnibus.242,,103,-63.2428166,-32.4046191
