WKT;gid
"MULTILINESTRING ((-63.2427738895577 -32.4207315907244,-63.2421025061445 -32.4207708464676))";"58"
"MULTILINESTRING ((-63.2361514878332 -32.4213795534855,-63.2364934878465 -32.4214938754582,-63.2365922576119 -32.4214951430805))";"59"
"MULTILINESTRING ((-63.2364943330549 -32.4206366761915,-63.2365922576119 -32.4214951430805))";"60"
"MULTILINESTRING ((-63.2365922576119 -32.4214951430805,-63.2366593970597 -32.4218822303742))";"61"
"MULTILINESTRING ((-63.2372834218451 -32.422917172476,-63.2363896300427 -32.4235377266121))";"62"
"MULTILINESTRING ((-63.2366593970597 -32.4218822303742,-63.2368405173461 -32.4222724398858,-63.2370424775614 -32.4226220309548,-63.2372834218451 -32.422917172476))";"63"
"MULTILINESTRING ((-63.237277872992 -32.4204320377058,-63.2372872530167 -32.4210911124982))";"64"
"MULTILINESTRING ((-63.2372872530167 -32.4210911124982,-63.237318386787 -32.4214095535689))";"65"
"MULTILINESTRING ((-63.2374923731109 -32.4239048308975,-63.2373882256506 -32.4240033183817,-63.2367919356758 -32.4243905716414))";"66"
"MULTILINESTRING ((-63.2363896300427 -32.4235377266121,-63.2374923731109 -32.4239048308975))";"67"
"MULTILINESTRING ((-63.2376556105464 -32.4206753405775,-63.2372872530167 -32.4210911124982))";"68"
"MULTILINESTRING ((-63.2372834218451 -32.422917172476,-63.2377854719079 -32.4234502448131))";"69"
"MULTILINESTRING ((-63.2377854719079 -32.4234502448131,-63.2374923731109 -32.4239048308975))";"70"
"MULTILINESTRING ((-63.237318386787 -32.4214095535689,-63.237408931373 -32.4217607967189,-63.2378049938726 -32.4224797304593))";"71"
"MULTILINESTRING ((-63.2378049938726 -32.4224797304593,-63.238077007587 -32.4227686336849))";"72"
"MULTILINESTRING ((-63.2383968041473 -32.4217930176969,-63.2378049938726 -32.4224797304593))";"73"
"MULTILINESTRING ((-63.2372872530167 -32.4210911124982,-63.2383968041473 -32.4217930176969))";"74"
"MULTILINESTRING ((-63.2387568860155 -32.4213845624788,-63.2383968041473 -32.4217930176969))";"75"
"MULTILINESTRING ((-63.2376556105464 -32.4206753405775,-63.2387568860155 -32.4213845624788))";"76"
"MULTILINESTRING ((-63.2387592037554 -32.4220222788353,-63.238077007587 -32.4227686336849))";"77"
"MULTILINESTRING ((-63.2383968041473 -32.4217930176969,-63.2387592037554 -32.4220222788353))";"78"
"MULTILINESTRING ((-63.2391229004529 -32.4209693317961,-63.2387568860155 -32.4213845624788))";"79"
"MULTILINESTRING ((-63.2387568860155 -32.4213845624788,-63.2392530602622 -32.4217054574158))";"80"
"MULTILINESTRING ((-63.2392530602622 -32.4217054574158,-63.2387592037554 -32.4220222788353))";"81"
"MULTILINESTRING ((-63.2746507218537 -32.4179950071404,-63.2758188591222 -32.4180870034164))";"82"
"MULTILINESTRING ((-63.2667566499676 -32.4182486314287,-63.2665966954893 -32.4187702740063))";"83"
"MULTILINESTRING ((-63.2662274819846 -32.4217786742604,-63.2669481723021 -32.422237855239))";"84"
"MULTILINESTRING ((-63.2669481723021 -32.422237855239,-63.2667543458452 -32.4224510796004))";"85"
"MULTILINESTRING ((-63.2667543458452 -32.4224510796004,-63.2662135605741 -32.4230476512507))";"86"
"MULTILINESTRING ((-63.2710929606027 -32.4147421930161,-63.2710673320738 -32.4151325700002))";"87"
"MULTILINESTRING ((-63.2711828890868 -32.4137086789735,-63.2710929606027 -32.4147421930161))";"88"
"MULTILINESTRING ((-63.2712299335136 -32.4131945775659,-63.2711828890868 -32.4137086789735))";"89"
"MULTILINESTRING ((-63.2712682647183 -32.4126819376661,-63.2712299335136 -32.4131945775659))";"90"
"MULTILINESTRING ((-63.2710616344609 -32.4154155263373,-63.2711864019616 -32.4154546838234,-63.2714295777011 -32.4155258437683,-63.2716369397878 -32.4156311301296,-63.2718232074729 -32.4157472141828,-63.2722088663696 -32.4160032643442))";"91"
"MULTILINESTRING ((-63.2710929606027 -32.4147421930161,-63.2723170960307 -32.4148114232597))";"92"
"MULTILINESTRING ((-63.2723170960307 -32.4148114232597,-63.2722088663696 -32.4160032643442))";"93"
"MULTILINESTRING ((-63.2711828890868 -32.4137086789735,-63.272393718785 -32.4137767648823))";"94"
"MULTILINESTRING ((-63.272393718785 -32.4137767648823,-63.2723170960307 -32.4148114232597))";"95"
"MULTILINESTRING ((-63.2724379975706 -32.4132643823636,-63.272393718785 -32.4137767648823))";"96"
"MULTILINESTRING ((-63.2712299335136 -32.4131945775659,-63.2724379975706 -32.4132643823636))";"97"
"MULTILINESTRING ((-63.2712682647183 -32.4126819376661,-63.2724786674597 -32.4127539914535))";"98"
"MULTILINESTRING ((-63.2724786674597 -32.4127539914535,-63.2724379975706 -32.4132643823636))";"99"
"MULTILINESTRING ((-63.2722935180479 -32.4161338394515,-63.2730896226429 -32.4161824009119))";"100"
"MULTILINESTRING ((-63.2730896226429 -32.4161824009119,-63.2730431822286 -32.4167771133038,-63.2730391650233 -32.4168285893926))";"101"
"MULTILINESTRING ((-63.2731919578915 -32.4148633642567,-63.2730896226354 -32.4161824017523))";"102"
"MULTILINESTRING ((-63.2723170960307 -32.4148114232597,-63.2731919578915 -32.4148633642567))";"103"
"MULTILINESTRING ((-63.272393718785 -32.4137767648823,-63.2732738996136 -32.4138332026256))";"104"
