WKT;Id;descripcio
"MULTIPOLYGON (((-63.2591516607424 -32.4156202436736,-63.2589187855176 -32.4154979841806,-63.2588043 -32.4153681,-63.2586107490594 -32.4152185074284,-63.2582274564326 -32.4151034540409,-63.2580395698841 -32.4149408508848,-63.257801578561 -32.4148297882674,-63.2576508507231 -32.414798056091,-63.2574842567969 -32.4148059891351,-63.2571986672093 -32.4148694534879,-63.2570099 -32.4150102999999,-63.2568892784893 -32.4151471100315,-63.2567579 -32.4152402999999,-63.2566036889017 -32.4153295700458,-63.2564132958432 -32.415432699619,-63.256238768873 -32.4155516952806,-63.2561115334291 -32.4157265626193,-63.2559611123294 -32.4158610840006,-63.2557635153426 -32.4160765051462,-63.2555882592566 -32.4162736022938,-63.255389933154 -32.4164957275288,-63.2553106027131 -32.416670254499,-63.2552878999999 -32.4168578999999,-63.2552652461026 -32.4169216404686,-63.2551185467286 -32.4174692713293,-63.2550192700759 -32.4179284258478,-63.2548827646785 -32.4184744474373,-63.2547710784443 -32.418871554048,-63.2549332817931 -32.4189313131765,-63.2550392342218 -32.4182823545505,-63.2551786067615 -32.4178729477152,-63.2553789547873 -32.4173851438264,-63.2555009057594 -32.417141241882,-63.2556664106504 -32.4169408938562,-63.2558406263249 -32.4167405458305,-63.255936444946 -32.4165750409396,-63.2560671067019 -32.4163224282113,-63.2562413223765 -32.4161569233206,-63.256450381186 -32.4159914184297,-63.2567465478328 -32.4158781782412,-63.2570340036959 -32.4158346243227,-63.2573040379914 -32.4157039625667,-63.2575653615033 -32.4156604086481,-63.257835395799 -32.415564590027,-63.2580880085271 -32.415564590027,-63.258410307525 -32.4155297468921,-63.2586977633881 -32.4155297468921,-63.2589242437651 -32.4156081439456,-63.259225818856 -32.4157361330579,-63.2591516607424 -32.4156202436736)))";"0";
"MULTIPOLYGON (((-63.2853366511995 -32.4160525525513,-63.2853259833796 -32.4160118814878,-63.2850520666512 -32.4154627765463,-63.2850282965197 -32.415973834372,-63.2849230759472 -32.4165101432952,-63.2848262504028 -32.4170910305492,-63.2847192848113 -32.4175070078491,-63.2845410088256 -32.4178992150177,-63.2845563427499 -32.4183830283672,-63.2845946529492 -32.4185114760311,-63.2847203130134 -32.4189327931205,-63.2847668250742 -32.4190045261291,-63.2849254099014 -32.419232491818,-63.2851118258013 -32.419469155181,-63.2853729634256 -32.4196938599404,-63.2857039124669 -32.4199348490421,-63.2860147569739 -32.4201573775032,-63.2862747959269 -32.4204301092449,-63.2863950790768 -32.4204901593432,-63.2866341102526 -32.4205582639847,-63.2868229414427 -32.4205852398688,-63.2873815395311 -32.4205614697373,-63.2877262064368 -32.4205020444089,-63.2878976535693 -32.4203406824018,-63.2877178967623 -32.4203016520029,-63.2874080799415 -32.4202388689479,-63.2871433729999 -32.4202440889999,-63.2868754464865 -32.4200749817308,-63.2862800960845 -32.4196992142142,-63.2861312919093 -32.4196000114308,-63.2859300542364 -32.4191852395142,-63.2856236141948 -32.4187040874991,-63.2855632233124 -32.4181116152857,-63.2855694995011 -32.4179735391343,-63.2857047862354 -32.4174729782175,-63.2856506715416 -32.4169318312806,-63.2853366511995 -32.4160525525513)))";"0";
"MULTIPOLYGON (((-63.2690949118357 -32.4111596834163,-63.2689885916929 -32.4111488344221,-63.2689691470801 -32.4114178182342,-63.2678827427798 -32.4113773670103,-63.2679006437063 -32.4110479899618,-63.2677977057131 -32.4110418136822,-63.2677845040931 -32.4113542520251,-63.2666287548375 -32.4112733495773,-63.2666462856347 -32.4110454492125,-63.2665412431289 -32.4111504917183,-63.266536294897 -32.4112964645623,-63.2664075332947 -32.4112842015526,-63.2663722477169 -32.4113194871305,-63.2663460671537 -32.4113805751114,-63.266536294897 -32.4113831457565,-63.2664900649268 -32.4123193026535,-63.2661754314654 -32.4123056229378,-63.2661723729924 -32.412375967817,-63.2662084923662 -32.4123980407675,-63.2664842861805 -32.4124175413403,-63.266468779119 -32.4125571048944,-63.2665665429464 -32.4126168494557,-63.266576746121 -32.4124059838477,-63.2676689291675 -32.4124753288031,-63.2676140498589 -32.412984209664,-63.2677031926074 -32.4130124744379,-63.2677556103617 -32.4124926650419,-63.2689113596173 -32.412556231251,-63.268865088122 -32.4131423368579,-63.2690819991006 -32.4130948875813,-63.2691425094685 -32.4125735674899,-63.2700635157648 -32.412631625976,-63.2700843147259 -32.4125525899242,-63.2698012865441 -32.4125388950122,-63.2698419943654 -32.4115830550368,-63.2699811942708 -32.4115874508233,-63.2698741670491 -32.411494383674,-63.2690905007517 -32.4114640482044,-63.2690949118357 -32.4111596834163),(-63.267744052869 -32.4114698269506,-63.26768048666 -32.4123886476089,-63.2665998611061 -32.412307745161,-63.2666518698225 -32.4114004819953,-63.267744052869 -32.4114698269506),(-63.2678365128095 -32.4123886476089,-63.2679000790185 -32.4114929419358,-63.2689803605232 -32.411555845547,-63.2688940233784 -32.412434877579,-63.2678365128095 -32.4123886476089),(-63.2691714031997 -32.4124984437882,-63.2692233729879 -32.4115635196247,-63.2697490796221 -32.4115801208869,-63.2696914903648 -32.412515780027,-63.2691714031997 -32.4124984437882)))";"0";Palermo Bajo
"MULTIPOLYGON (((-63.2933553596349 -32.4161897604786,-63.2926998406962 -32.4159513899555,-63.2925687369084 -32.4159394714292,-63.2923899590161 -32.4159037158508,-63.2922230996499 -32.4159275529032,-63.2919728106006 -32.4160824937432,-63.2918178697605 -32.4162731901617,-63.2917582771297 -32.4164254668692,-63.2923376119336 -32.4164611220663,-63.2931482320774 -32.4165983019098,-63.2938044979407 -32.4168757252448,-63.2942867627107 -32.417138570812,-63.2945006938935 -32.417388157192,-63.2949758105522 -32.4183082202783,-63.2949758105522 -32.4184401863313,-63.2949638136384 -32.4189200628878,-63.2949285562592 -32.4191114917204,-63.2949998666535 -32.419420503429,-63.2951761963623 -32.4197449440886,-63.2952157488305 -32.419843825259,-63.295221094681 -32.4201477579704,-63.2952923349102 -32.4206251755556,-63.2954633842164 -32.4212983438117,-63.2955666249233 -32.4215720047856,-63.2957928981019 -32.4217656912018,-63.2959982121734 -32.4218569419002,-63.2959955482348 -32.4217153438293,-63.2962359134876 -32.421868826966,-63.296511415533 -32.421883300624,-63.2967153630695 -32.4219312882797,-63.2967665018747 -32.4218159806159,-63.2967513538113 -32.421619368518,-63.2966496953958 -32.4214530183838,-63.2963707467526 -32.4212670526217,-63.2962158059126 -32.4210406006246,-63.2960370280203 -32.4208499042061,-63.2958701686541 -32.4205757781045,-63.2957630728687 -32.4202201822343,-63.2956794722356 -32.4198845035874,-63.2955960425524 -32.4194911922242,-63.2954172646601 -32.4188595103379,-63.2953099979247 -32.4185377101317,-63.2952384867677 -32.418192072873,-63.2951102879086 -32.4178867195786,-63.295035871823 -32.4174769613036,-63.2946921712079 -32.4169688839586,-63.2944161084628 -32.4168452794172,-63.2941896564659 -32.4167380126818,-63.2938440192073 -32.416523479211,-63.2935698931057 -32.4163566198447,-63.2933553596349 -32.4161897604786)))";"0";Vista Verde
"MULTIPOLYGON (((-63.2669729089258 -32.4177625677535,-63.2667179322606 -32.4180934766641,-63.2662848852082 -32.4178844052868,-63.266225541024 -32.4179295871484,-63.2666494061964 -32.4182622882573,-63.2664765238851 -32.4186881778624,-63.2662985110603 -32.4192201155976,-63.2663998993525 -32.4194009075381,-63.266772835584 -32.4192170661226,-63.266772835584 -32.4190520663918,-63.2669273414382 -32.4189451008005,-63.2669413626226 -32.4187417936283,-63.2669511115697 -32.4186004338948,-63.2670347318032 -32.418416469381,-63.2671145338226 -32.4182052476614,-63.2671769278183 -32.4180180656749,-63.2671943253713 -32.4179275983988,-63.2672128577444 -32.4178312300589,-63.2672025806553 -32.4177201867706,-63.2672108434675 -32.4176992543132,-63.2673570792916 -32.4173004293386,-63.2675299034471 -32.416981369359,-63.2677691984319 -32.4166091327161,-63.2678888459242 -32.4163299552339,-63.2678948697715 -32.4162365856015,-63.2677771373554 -32.4162114948821,-63.2677819588237 -32.4162876976026,-63.2677005137015 -32.4163913550308,-63.2676228336824 -32.4164902205096,-63.2675530300781 -32.4165765438498,-63.26748500209 -32.4166588935196,-63.2674227788094 -32.4167380867858,-63.2673136808977 -32.4168130825928,-63.2672394417143 -32.4168930324826,-63.2671366489989 -32.4170358001429,-63.2668796672102 -32.4169444288403,-63.2667654530819 -32.4169044538954,-63.2664856284676 -32.4167160005837,-63.2662743323303 -32.4165446793913,-63.2660059291289 -32.4164019117309,-63.2659431113582 -32.4164190438502,-63.2660615074204 -32.4165398727459,-63.2663314393945 -32.4167559755286,-63.2666810235815 -32.4169175140423,-63.2669690496527 -32.4171454186047,-63.2670093385108 -32.4171826048835,-63.2671019133728 -32.4172680507064,-63.2670732457179 -32.417461557377,-63.2669729089258 -32.4177625677535)))";"0";
"MULTIPOLYGON (((-63.2722161956808 -32.4163303863435,-63.272473501357 -32.4166390919305,-63.272836818188 -32.4171113779245,-63.273285851595 -32.4174356974549,-63.2735728526989 -32.4176460977568,-63.2735946249483 -32.4177304839708,-63.2737417614671 -32.417862132435,-63.2739973143682 -32.4180789651996,-63.2745548843342 -32.4182725658823,-63.2750659901366 -32.4183035419916,-63.275530631775 -32.4183732382373,-63.2759720413315 -32.4183732382373,-63.2765063792157 -32.4182028696366,-63.2771104133457 -32.417459443015,-63.2771852135089 -32.4173608428001,-63.2773304954742 -32.4170683457733,-63.2777017609274 -32.4164326507947,-63.2777786942465 -32.4163076341512,-63.2782181538661 -32.4158074434521,-63.2786376633668 -32.4154335328101,-63.2783649457695 -32.4152214191233,-63.2781703999999 -32.4155358999999,-63.2775905430387 -32.4161739344821,-63.2774511505472 -32.4164527194652,-63.2773040140283 -32.4167702245848,-63.2769477887722 -32.4172890744143,-63.2763050345058 -32.4181021972816,-63.2761114338231 -32.4181564054728,-63.2760649696593 -32.4181564054728,-63.275530631775 -32.4181099413089,-63.2747097648805 -32.4179937808992,-63.2747252529351 -32.4176762757797,-63.2746330489487 -32.4176769627461,-63.2746118801855 -32.417937914227,-63.2744000037882 -32.4179008525716,-63.2738872673115 -32.4174790847957,-63.2736822793706 -32.4172716512715,-63.2731299833098 -32.4167702245848,-63.273200984032 -32.4153558991202,-63.2731653396912 -32.415349109722,-63.2732055999998 -32.4148552,-63.2735321026032 -32.4148747268043,-63.2735404167571 -32.4147954976215,-63.2734689414282 -32.4147626310011,-63.2732150890788 -32.4147387587134,-63.2732478688386 -32.4146609748213,-63.2732885999999 -32.4138366999998,-63.2736235656243 -32.4138547921947,-63.273641089112 -32.4137655419895,-63.273302608604 -32.4136555039609,-63.2733227976222 -32.4133943665881,-63.2733602363807 -32.4129374027167,-63.2733500173616 -32.4129897109519,-63.2732628137571 -32.413478768431,-63.2732269466833 -32.4136150633116,-63.2732276109709 -32.4129444219115,-63.2731236050791 -32.4136652883818,-63.2720922836507 -32.413672613662,-63.2720682172085 -32.41376409027,-63.2723324999997 -32.4137797999998,-63.2722703962787 -32.4146251290206,-63.272235542298 -32.4146334939759,-63.2722549082241 -32.4146948252665,-63.2720108952124 -32.4146874092765,-63.2718831949134 -32.4147180573484,-63.2711522072204 -32.4146160795581,-63.2711716703179 -32.4147335621824,-63.2722466999998 -32.4147978999999,-63.2721981257954 -32.4153747787929,-63.2721387478145 -32.415492460079,-63.2721542001153 -32.4158964506099,-63.2715476231605 -32.4155276775678,-63.2714464117424 -32.4154838485596,-63.271376246813 -32.4154534640504,-63.2713682824516 -32.4154425130534,-63.2712802485227 -32.4154118925564,-63.2712369362041 -32.4153968274021,-63.2711912505528 -32.4153796952828,-63.2711455649014 -32.4153454310443,-63.2710770364245 -32.4152940346867,-63.2711113006629 -32.4151969526777,-63.2711522072204 -32.4146160795581,-63.2711969612591 -32.4139805722115,-63.2711558607917 -32.4138943170501,-63.2710656150117 -32.4139405972665,-63.2710656150117 -32.4139977043307,-63.2710656150117 -32.4140890756333,-63.2710599043053 -32.4141518934038,-63.2707680549812 -32.4141295112731,-63.2707426041217 -32.4142256691207,-63.2710599043053 -32.4142462510693,-63.2710599043053 -32.4142832396514,-63.2710599043053 -32.4143917430733,-63.2710599043053 -32.4144602715502,-63.2710599043053 -32.4145859070914,-63.2710484828924 -32.4146658569811,-63.2710370614796 -32.4147972032287,-63.2710256400667 -32.4148942852377,-63.2710027972411 -32.4150598957236,-63.2709342687641 -32.4151398456135,-63.2708029225166 -32.4151341349071,-63.2706772869755 -32.4151112920813,-63.2705630728473 -32.4150998706686,-63.2704431480125 -32.4150998706686,-63.2703118017649 -32.4150998706686,-63.2701519019855 -32.415105581375,-63.2699691593801 -32.4151512670263,-63.269814970307 -32.4151683991455,-63.2696150955825 -32.4151969526777,-63.2694780386284 -32.4152255062097,-63.2693409816746 -32.4152597704481,-63.2691867926015 -32.4152826132738,-63.2690954212988 -32.4152826132738,-63.268986917877 -32.4152997453931,-63.2689069679872 -32.4153282989251,-63.2688648032593 -32.415419515737,-63.268861454647 -32.4154669796142,-63.2688246562902 -32.4155200320425,-63.26875238305 -32.4156242288388,-63.2687448810452 -32.4156932807721,-63.2688289519524 -32.4158312135835,-63.2697063429252 -32.4156652901946,-63.2702215003631 -32.4156410525322,-63.2708557032554 -32.415773186062,-63.2714198962781 -32.4158668687807,-63.2720379196949 -32.4162115356863,-63.2721880318194 -32.4163085758539,-63.2722161956808 -32.4163303863435),(-63.2723865566883 -32.4147025692937,-63.2724713439871 -32.4137878648225,-63.2731571999998 -32.4138288999999,-63.2730822247208 -32.4147489279717,-63.2723865566883 -32.4147025692937),(-63.2730215669274 -32.4149271460857,-63.2729426332179 -32.4165450601034,-63.2725733917662 -32.4161370355469,-63.2722626522512 -32.4159571017173,-63.2723555805791 -32.4148651938672,-63.2730215669274 -32.4149271460857)))";"0";
"MULTIPOLYGON (((-63.2673039978569 -32.4236983496986,-63.2674027440667 -32.4236278166916,-63.2674880355689 -32.4233435116849,-63.2675762317741 -32.4229666823453,-63.2677259340462 -32.4224011545012,-63.2674191781819 -32.4223678274537,-63.2673000479929 -32.4223214990468,-63.2669294207382 -32.4221891321702,-63.2667705804861 -32.4224406292359,-63.2668963290191 -32.4224604842674,-63.2670088408642 -32.422314880703,-63.2672801929614 -32.4224671026112,-63.2672868113052 -32.4228906766165,-63.2671014976779 -32.4234995642491,-63.2669029473629 -32.4234069074355,-63.2668698556437 -32.4234797092176,-63.2673039978569 -32.4236983496986)))";"0";
"MULTIPOLYGON (((-63.2626062689777 -32.421245789607,-63.2625284527222 -32.4211703314199,-63.2623230534304 -32.4213486025034,-63.262217159929 -32.4214412593171,-63.2631635830972 -32.4223413540783,-63.2637195239791 -32.4232215938082,-63.26337370679 -32.4236159316258,-63.2634126420415 -32.4237382995592,-63.2638320358243 -32.4232613038712,-63.264123242953 -32.4239429932859,-63.2638134542214 -32.4243290355686,-63.2638729103945 -32.4243969854807,-63.2642622281734 -32.4239628483174,-63.2642158997666 -32.4238569548161,-63.2639313109818 -32.4230759902438,-63.2637923257612 -32.4231090819629,-63.2632231481916 -32.4222156055455,-63.2624061568707 -32.4214286506702,-63.2626062689777 -32.421245789607)))";"0";
