Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,3,43.161,-0.135,59.908,-1.187,,,41.862,18.838
2,3,35.541,0.253,60.673,-1.176,,,36.273,15.613
3,3,70.816,-0.011,70.68,-0.007,,,90.979,51.265
4,3,10.86,0.336,83.934,-38.66,,,10.86,5.067
5,3,11.862,0.879,47.243,-0.917,,,14.125,8.886
