Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,1,39.218,0.159,47.633,-0.24,,,23.915,10.579
2,1,15.552,-0.501,9.933,0.388,,,14.151,8.601
3,1,43.367,0.417,68.264,-0.444,,,43.367,15.134
4,1,11.503,-0.168,6.209,0.66,,,15.167,8.946
5,1,46.11,0.479,76.506,-0.435,,,44.445,16.157
