Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,1,66.944,-0.002,69.392,-0.076,,,45.979,24.781
2,1,23.941,0.532,41.318,-0.394,,,20.517,11.901
3,1,58.454,-0.65,70.007,-1.367,,,,
4,1,37.535,0.787,100.789,-0.536,,,,
5,1,49.973,0.597,42.166,0.713,,,6.649,3.536
