Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,3,33.277,0.395,62.86,-1.16,,,32.89,17.19
2,3,42.637,0.179,69.38,-1.174,,,43.932,15.65
3,3,75.651,-0.097,72.548,-0.009,,,97.053,49.947
4,3,11.287,0.319,86.15,-38.66,,,11.287,5.702
5,3,43.586,0.527,80.539,-0.615,,,46.563,27.19
