Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,2,14.15,0.593,24.82,-0.252,,,8.255,4.462
2,2,9.256,0.813,25.437,-0.414,,,7.61,4.833
3,2,5.332,0.49,5.441,0.469,,,4.307,3.249
4,2,9.345,0.938,47.215,-0.588,,,9.345,4.706
5,2,13.117,0.839,38.848,-0.408,,,9.3,4.967
