Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,3,64.194,-0.158,96.835,-1.635,,,66.903,32.201
2,3,41.459,0.136,79.31,-2.16,,,31.367,16.339
3,3,87.913,-0.335,108.167,-1.021,,,,
4,3,96.519,0.207,155.861,-1.067,,,,
5,3,56.357,-0.006,116.552,-3.302,,,41.43,26.685
