Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,3,70.13,-0.287,102.469,-1.748,,,75.238,35.267
2,3,50.613,0.023,85.729,-1.804,,,37.926,19.217
3,3,74.006,0.1,111.025,-1.026,,,,
4,3,70.828,0.595,159.976,-1.067,,,,
5,3,88.422,-0.014,159.008,-2.279,,,65.315,41.319
