Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,2,43.178,-0.138,56.006,-0.915,,,30.039,14.656
2,2,31.682,0.394,56.564,-0.932,,,29.327,20.206
3,2,7.14,-18.376,2.23,-0.89,,,7.476,4.894
4,2,56.855,0.349,105.383,-1.237,,,56.855,28.201
5,2,15.497,0.759,40.84,-0.675,,,11.08,5.593
