Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,4,37.722,-0.224,89.265,-5.852,,,41.236,21.159
2,4,72.371,-0.123,102.516,-1.253,,,57.136,22.051
3,4,5.941,-2.922,165.517,-3043.0,,,,
4,4,149.088,-0.544,150.2,-0.567,,,,
5,4,6.1,-0.306,100.979,-356.908,,,6.1,4.251
