Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,1,54.675,0.2,63.678,-0.086,,,41.22,26.032
2,1,28.183,0.451,44.957,-0.396,,,28.768,17.899
3,1,48.259,-0.471,61.222,-1.367,,,,
4,1,18.519,0.932,88.14,-0.536,,,,
5,1,50.009,0.576,41.069,0.714,,,18.073,8.693
