Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,4,38.914,-0.133,87.476,-4.728,,,42.573,22.58
2,4,67.538,-0.103,95.052,-1.184,,,50.377,21.978
3,4,3.667,-0.574,161.26,-3043.0,,,,
4,4,96.061,-0.585,97.014,-0.617,,,,
5,4,5.844,-1.877,65.173,-356.908,,,5.844,4.538
