Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,4,44.55,-0.087,64.548,-1.281,,,38.525,17.174
2,4,32.606,0.531,67.256,-0.994,,,33.283,12.979
3,4,74.391,-0.069,111.584,-1.404,,,74.391,35.456
4,4,9.359,0.561,16.931,-0.437,,,1.928,1.747
5,4,47.363,0.455,93.69,-1.132,,,47.465,20.966
