Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,2,65.42,-0.136,91.288,-1.211,,,44.146,25.896
2,2,46.134,0.227,84.932,-1.621,,,49.981,31.52
3,2,1.239,0.0,1.855,0.0,,,,
4,2,8.2,-17.842,4.343,-4.286,,,,
5,2,67.189,0.232,112.691,-1.159,,,70.821,40.474
