WKT;Id;NOMBRE;DIRECCION;TELEFONO
"MULTIPOLYGON (((-63.2039033392651 -32.408193308638,-63.2039316909742 -32.420799104912,-63.2109678487623 -32.4207875200142,-63.210964848147 -32.4194982385637,-63.2161513614293 -32.4178935563593,-63.2193453115087 -32.4169093282042,-63.2202565400504 -32.4158566256616,-63.2213987528563 -32.414537030819,-63.2228330965774 -32.4128798747002,-63.2235761860182 -32.4119934947708,-63.2236449480055 -32.4119114730915,-63.2236536759548 -32.4119029722407,-63.224077575811 -32.4114901549394,-63.2243078832256 -32.4112658675055,-63.2250796952493 -32.4103747964462,-63.2252530840556 -32.4102966251689,-63.2250747188612 -32.4102885751868,-63.224278525857 -32.4097699212905,-63.2223897118993 -32.4085985798894,-63.2153562805601 -32.408617995208,-63.2139597560833 -32.4086218038968,-63.2119400576542 -32.4086272856988,-63.2109841016423 -32.4086298672796,-63.2103067828205 -32.4085139671727,-63.2074770041093 -32.4081874757747,-63.2039033392651 -32.408193308638)))";"0";MUNICERCA 6;Incahuasi 368;0353-4061432
"MULTIPOLYGON (((-63.2401170800246 -32.3886268022213,-63.236515574731 -32.3926763513806,-63.2353484134845 -32.3875391676917,-63.2298681870231 -32.3886205352857,-63.2308906860894 -32.3923514688005,-63.2346345122214 -32.3947912431001,-63.2374268783103 -32.3965790496485,-63.2410598314161 -32.3989048423701,-63.2450806240405 -32.4014624650736,-63.2441107957133 -32.3979067507269,-63.2436746844786 -32.3961808699927,-63.243317994855 -32.3951809257407,-63.2420190272787 -32.3901103444784,-63.2415271877376 -32.3889761669457,-63.2410953648018 -32.3874645371578,-63.2401170800246 -32.3886268022213)))";"0";MUNICERCA 7;Carlos Pellegrini y Ramiro Suarez;0353-4175086
"MULTIPOLYGON (((-63.2155042403098 -32.3990423394457,-63.2155461443501 -32.4042824210469,-63.2109553929576 -32.4011086842482,-63.2102898142532 -32.4011955556892,-63.210297927885 -32.4046952342976,-63.2103067828205 -32.4085139671727,-63.2109841016423 -32.4086298672796,-63.2119400576542 -32.4086272856988,-63.2139597560833 -32.4086218038968,-63.2153562805601 -32.408617995208,-63.2223897118993 -32.4085985798894,-63.224278525857 -32.4097699212905,-63.2250747188612 -32.4102885751868,-63.2252530840556 -32.4102966251689,-63.2253615000361 -32.4103647105093,-63.2296634533617 -32.4055639061614,-63.2312538437997 -32.4037889286047,-63.2313563055331 -32.4035084211934,-63.2307921357998 -32.4031376635005,-63.2297699307391 -32.4024658807162,-63.2279561318902 -32.4012738249227,-63.2266191055385 -32.4003950736315,-63.2264154076165 -32.4002611911429,-63.2247277670488 -32.3991519513156,-63.2230280673446 -32.3980347331065,-63.2181864937322 -32.394852076361,-63.2158099877224 -32.3977757201447,-63.2155042403098 -32.3990423394457)))";"0";MUNICERCA  3;Cartagena y Monte Hermoso;0353-4618613
"MULTIPOLYGON (((-63.2109648323535 -32.4194914522889,-63.2109678329626 -32.4207807315392,-63.2039349259304 -32.4207787094004,-63.2039161219485 -32.4251325016679,-63.1934582265 -32.4284313833144,-63.1903385223614 -32.4297811949175,-63.1818530710269 -32.4344672068003,-63.189495204864 -32.4442492850796,-63.1984031248762 -32.4396387230852,-63.2048791708261 -32.4369034565575,-63.2207725388668 -32.4384671222943,-63.2194912980949 -32.4360517718624,-63.2194556011445 -32.4359804619677,-63.2194276202538 -32.4359067147131,-63.2194075827199 -32.4358311323823,-63.2193956509595 -32.4357543267275,-63.2193919225154 -32.4356769211705,-63.2193964287484 -32.4355995464021,-63.2194091309148 -32.4355228282798,-63.2194299253713 -32.4354473927729,-63.2194586467862 -32.4353738516463,-63.219495057106 -32.43530280193,-63.2195388650149 -32.4352348214822,-63.2195897109904 -32.4351704613098,-63.2196471841786 -32.4351102460901,-63.2197108171747 -32.435054662622,-63.2201306634294 -32.4343607127339,-63.2216182150664 -32.4327609720228,-63.2217559902215 -32.4326267722607,-63.221887669482 -32.4324882399712,-63.2220130631968 -32.4323455758486,-63.2221319908127 -32.4321989838735,-63.222244282179 -32.4320486740617,-63.2223497762545 -32.4318948646687,-63.2224483210891 -32.4317377744837,-63.2225397744867 -32.4315776288826,-63.2226240072491 -32.4314146592719,-63.2227008947309 -32.4312490998012,-63.2227703291735 -32.4310811889922,-63.2228322106089 -32.4309111653519,-63.2228864507732 -32.4307392756212,-63.2229329698441 -32.4305657676258,-63.2229717016226 -32.4303908864139,-63.2230025922704 -32.4302148885687,-63.2230255957177 -32.4300380224023,-63.2230406782462 -32.4298605444597,-63.2230478217085 -32.429682709055,-63.2231834739277 -32.4296286518351,-63.2233155079115 -32.4295684965263,-63.2234435444222 -32.4295024155334,-63.2235672120572 -32.4294305988613,-63.2236861550385 -32.4293532552012,-63.2238000299566 -32.4292706069828,-63.2239085077238 -32.4291828931227,-63.2240112768154 -32.4290903673674,-63.2241080400097 -32.428993292244,-63.2241985189687 -32.4288919544637,-63.2242824509323 -32.4287866401589,-63.2243595939654 -32.4286776574405,-63.2244297288582 -32.4285653176808,-63.2244926487717 -32.4284499470898,-63.2245481747912 -32.4283318784315,-63.2245961474919 -32.4282114515893,-63.2246364262873 -32.4280890130167,-63.2246688959269 -32.4279649190278,-63.2246934632212 -32.4278395236943,-63.2247100570697 -32.4277131904039,-63.2247186310356 -32.4275862835997,-63.2247447217265 -32.4274597748478,-63.2247786179491 -32.4273346006136,-63.2248202225531 -32.427211112212,-63.2248694188891 -32.4270896477825,-63.2249260740826 -32.4269705438409,-63.2249900318831 -32.4268541303391,-63.2250611139561 -32.426740727911,-63.2251391237823 -32.4266306500669,-63.2252238473026 -32.4265242015418,-63.2253150490207 -32.426421676651,-63.2254124765445 -32.426323358732,-63.2276401589298 -32.4259905164527,-63.2288980060245 -32.4258025621632,-63.2288321068518 -32.4257708138274,-63.2287694807525 -32.425734614025,-63.2279830557803 -32.4246331692038,-63.2283019310922 -32.4244749703643,-63.2300683684031 -32.4235233668598,-63.230062607 -32.4235196727139,-63.2300683511711 -32.4235165783966,-63.2297612527976 -32.4233196125409,-63.2297556324592 -32.423316006736,-63.2294621497584 -32.4231277692448,-63.2268376029037 -32.4214443442822,-63.2266082255615 -32.4216352081347,-63.2227942536871 -32.4192675978105,-63.2207662518611 -32.4198956330222,-63.2194965937308 -32.4169458313319,-63.2193452950841 -32.4169025397288,-63.2161513452432 -32.4178867678835,-63.2109648323535 -32.4194914522889)))";"0";MUNICERCA  2;Av. Presidente Peron 2756;0353-4618699
"MULTIPOLYGON (((-63.2271403784026 -32.393382339076,-63.2257854354619 -32.3949123730467,-63.2210539527069 -32.3920416912532,-63.2181864937322 -32.394852076361,-63.2230280673446 -32.3980347331065,-63.2247277670488 -32.3991519513156,-63.2264154076165 -32.4002611911429,-63.2266191055385 -32.4003950736315,-63.2279561318902 -32.4012738249227,-63.2297699307391 -32.4024658807162,-63.2307921357998 -32.4031376635005,-63.2313563055331 -32.4035084211934,-63.2313626503437 -32.4033605554013,-63.2325072346977 -32.4020806915785,-63.2335423632289 -32.4009231759609,-63.2340495347282 -32.4003560235131,-63.2346609049659 -32.3996723444482,-63.2355176572837 -32.3987142311067,-63.2374268763598 -32.396579048001,-63.2367017670116 -32.3961148129103,-63.235680675487 -32.3954610597063,-63.235483108067 -32.395334565459,-63.2346339416967 -32.3947908742993,-63.2335490560799 -32.3940852230246,-63.232602231934 -32.3934611931696,-63.2316241022405 -32.3928290436232,-63.2308906860894 -32.3923514688005,-63.2304120359467 -32.3921033722924,-63.2290678160038 -32.3912189416272,-63.2271403784026 -32.393382339076)))";"0";MUNICERCA  1;Salta y La Quiaca;0353-4618690
"MULTIPOLYGON (((-63.2593862960976 -32.3963964724835,-63.2513331798007 -32.4055996069177,-63.252208654008 -32.4061473685344,-63.2522160397042 -32.4062077265689,-63.2567003382916 -32.4090846509681,-63.257891128346 -32.4095650890788,-63.2579425303784 -32.4096063621567,-63.2579988340048 -32.4096427448749,-63.2580593937551 -32.4096738197023,-63.2581235176244 -32.4096992335996,-63.2581904735536 -32.4097186952539,-63.2582594959397 -32.4097319827719,-63.2583297966684 -32.409738944207,-63.2584005703098 -32.4097394992009,-63.2584710109996 -32.4097336428008,-63.2592881276862 -32.409778727484,-63.2609862065236 -32.4098724011213,-63.2608191026762 -32.4068867265284,-63.2639541304784 -32.4049927589886,-63.2669401132868 -32.4018748683284,-63.2667162367934 -32.4018454242004,-63.2664912181379 -32.4018231035851,-63.2662653720181 -32.4018079404865,-63.2660390156842 -32.401799954595,-63.2658124657145 -32.4017991578993,-63.2655860412479 -32.401805550827,-63.2653600542586 -32.4018191239157,-63.2651348257712 -32.4018398566786,-63.2649106683681 -32.4018677253463,-63.2646878965193 -32.4019026857835,-63.2641732032887 -32.4019718015647,-63.2636598059444 -32.4020475436336,-63.263355497313 -32.4020964909063,-63.2633520487837 -32.4020970446495,-63.2612855649995 -32.3988111647975,-63.2607443587793 -32.398506677464,-63.2593862960976 -32.3963964724835)))";"0";MUNICERCA  4;Bv. Velez Sarsfield e Italia;0353-4618616
"MULTIPOLYGON (((-63.2607753539504 -32.4069148869352,-63.2609407977732 -32.4098709353522,-63.2592848711171 -32.4097795872881,-63.2584677544242 -32.4097345025839,-63.2583973137335 -32.4097403589821,-63.2583265394426 -32.4097398039878,-63.2582562387135 -32.4097328425508,-63.258187216976 -32.4097195550297,-63.2581202610469 -32.4097000933736,-63.2580561371779 -32.4096746794747,-63.2579955774281 -32.4096436046458,-63.2579392738025 -32.4096072219261,-63.257887871771 -32.4095659488468,-63.2566970817224 -32.4090855107054,-63.2566198878676 -32.4092231948555,-63.2611740536027 -32.4121294743256,-63.2611191058697 -32.412170614758,-63.2604095928328 -32.4129650974468,-63.2587301399165 -32.414887099867,-63.2595017099654 -32.4153996557883,-63.2595810189793 -32.4162603727616,-63.260475529691 -32.4170042111836,-63.2611817113059 -32.417552611943,-63.2612861140071 -32.4176270502145,-63.2613849880038 -32.4177067373661,-63.261477966475 -32.4177913764115,-63.2615647007269 -32.4178806576682,-63.2616448750825 -32.4179742466177,-63.2617181887544 -32.4180717982532,-63.2617843733486 -32.4181729515386,-63.2618431811932 -32.4182773321852,-63.261894397667 -32.4183845526253,-63.261937828237 -32.4184942169926,-63.2619733172713 -32.418605919432,-63.2620007318224 -32.418719245784,-63.2620199674786 -32.4188337774253,-63.2620309554915 -32.418949087401,-63.2620591353447 -32.4199782256233,-63.2620904566174 -32.4211220470672,-63.2631948045685 -32.4222556463074,-63.2631578226269 -32.4229842900727,-63.2633564634736 -32.4236047178243,-63.2633688581223 -32.4237102189337,-63.2633893863163 -32.4238148048031,-63.2634179585104 -32.4239180215456,-63.2634544507989 -32.4240194269028,-63.2634987087936 -32.4241185852831,-63.2635505372349 -32.4242150655828,-63.2636097162615 -32.4243084576631,-63.2636759896758 -32.4243983536619,-63.2637490734445 -32.4244843705422,-63.2638286517637 -32.4245661357906,-63.2639143816313 -32.4246432978651,-63.2640058954379 -32.4247155245388,-63.2641027970811 -32.4247825056604,-63.2642046697464 -32.4248439509364,-63.2643110759265 -32.4248995965363,-63.2644215561169 -32.4249492028936,-63.2645356346573 -32.424992554694,-63.2646528210547 -32.4250294696791,-63.2647726073451 -32.4250597837915,-63.2648944817777 -32.4250833704099,-63.2650179177337 -32.4251001233106,-63.2651423841644 -32.4251099753586,-63.2652673429446 -32.4251128809011,-63.2653922605925 -32.4251088289518,-63.2655165913775 -32.425097836072,-63.2656398078328 -32.4250799507091,-63.2657613747882 -32.4250552493983,-63.2658807701406 -32.4250238383704,-63.2659974770616 -32.4249858513662,-63.2661109950438 -32.4249414545667,-63.2662208372797 -32.4248908377923,-63.2663449242934 -32.4248100614696,-63.2664636539569 -32.4247236890026,-63.2665766791906 -32.42463197597,-63.2666836646391 -32.424535191136,-63.2667842957639 -32.4244336191818,-63.2668782723662 -32.4243275645725,-63.2669653189218 -32.4242173355736,-63.2670451794371 -32.4241032602225,-63.267117615468 -32.423985674775,-63.2671824184601 -32.4238649275311,-63.2672393922037 -32.4237413706165,-63.2672883697425 -32.4236153726053,-63.2673292074921 -32.423487304773,-63.267361783306 -32.4233575455029,-63.267386002958 -32.4232264780715,-63.2674017955826 -32.4230944851533,-63.2674091124161 -32.4229619620337,-63.2674079325756 -32.4228292962316,-63.2673982579084 -32.42269688127,-63.2673801207536 -32.4225651084045,-63.2673535722516 -32.4224343633447,-63.267318692752 -32.4223050350393,-63.2673919576384 -32.4221324677199,-63.2669875985518 -32.4213599538087,-63.2669226541344 -32.4212538967461,-63.266864491104 -32.4211450447229,-63.2668132764763 -32.4210337089146,-63.2667691552293 -32.4209202098989,-63.2667322561278 -32.4208048721398,-63.2667026813409 -32.4206880240092,-63.2666805161889 -32.4205700021693,-63.2666658265258 -32.4204511438727,-63.2666586542049 -32.4203317897239,-63.2666590170719 -32.4202122809273,-63.2666669141524 -32.4200929581754,-63.2666823269636 -32.4199741660491,-63.2667052058605 -32.4198562436901,-63.2667354895093 -32.4197395269612,-63.2667730899696 -32.4196243506798,-63.266764098631 -32.4194599774979,-63.2667630446753 -32.419295431196,-63.2667699301555 -32.4191309831115,-63.2667847441779 -32.4189669150652,-63.2668074582905 -32.4188034957044,-63.2668380382279 -32.4186410024934,-63.2668764341366 -32.418479707424,-63.266922575397 -32.4183198814303,-63.2669763907231 -32.4181617888414,-63.2670377880731 -32.4180056962308,-63.2671066611178 -32.4178518652479,-63.267182900278 -32.4177005547954,-63.2672663745451 -32.4175520172163,-63.2673569438147 -32.4174064999182,-63.2677362753068 -32.4163165958666,-63.2677382262325 -32.4163178400028,-63.2678238021362 -32.4162258120257,-63.2679154887236 -32.4161381196183,-63.2680129805911 -32.4160550556735,-63.268115951519 -32.4159768938649,-63.2682240609808 -32.4159038957884,-63.2683369515252 -32.4158363032624,-63.2684542448844 -32.4157743388867,-63.2685755523701 -32.4157182109742,-63.2687004709594 -32.4156681064043,-63.268828585888 -32.4156241900669,-63.2689594713102 -32.4155866087145,-63.2690926915865 -32.4155554876565,-63.2692278058204 -32.4155309290992,-63.2693643626767 -32.4155130154587,-63.2695019107481 -32.4155018043859,-63.2696399914438 -32.4154973375876,-63.2697805713779 -32.4154646870354,-63.2699231109605 -32.4154388563985,-63.2700671484801 -32.4154199286678,-63.2702122208638 -32.4154079648236,-63.2703578584838 -32.4154030032961,-63.2705035935873 -32.415405058297,-63.2706489557739 -32.4154141264329,-63.2707934784504 -32.4154301756844,-63.2709366949703 -32.415453156422,-63.2710781412021 -32.4154829925938,-63.271217365285 -32.4155195894107,-63.2713539172363 -32.4155628300657,-63.2714873554305 -32.4156125724176,-63.2716172505174 -32.415668657789,-63.2717431847556 -32.4157309049128,-63.2718647526753 -32.4157991148843,-63.2719815623561 -32.4158730645538,-63.2721185293593 -32.4159621959849,-63.2722511158185 -32.4160559737539,-63.2723791026013 -32.4161542409372,-63.2725022757563 -32.4162568383984,-63.2726204375124 -32.4163635943078,-63.2727333874869 -32.4164743324381,-63.272840942149 -32.4165888715725,-63.2729429244306 -32.4167070227744,-63.2730391637239 -32.4168285888374,-63.2739707790596 -32.4176702610358,-63.2740860244537 -32.4177495492371,-63.2742060622297 -32.4178235453748,-63.2743305530428 -32.4178920443288,-63.2744591471991 -32.4179548531113,-63.2745914846707 -32.4180117958198,-63.2747271918416 -32.4180627103423,-63.274865888664 -32.4181074543963,-63.2750071860563 -32.4181459033327,-63.2751506865492 -32.4181779490342,-63.2752959868898 -32.4182035026609,-63.2754426793228 -32.4182224891448,-63.2755903516216 -32.4182348570958,-63.2757385903092 -32.4182405710899,-63.2758869761333 -32.4182396171826,-63.2760350931295 -32.4182319957345,-63.2761825266936 -32.4182177274693,-63.2763288642371 -32.4181968556742,-63.2765038914667 -32.4180666840741,-63.2766733635396 -32.417931327661,-63.2768370661976 -32.4177909580983,-63.2769947962211 -32.4176457481266,-63.2771463510892 -32.4174958853455,-63.2772915432028 -32.4173415551202,-63.2774301901919 -32.4171829538122,-63.2775621135855 -32.4170202783245,-63.2776871505202 -32.4168537354325,-63.2778051426904 -32.4166835357538,-63.2779159408871 -32.4165098926371,-63.2780194088927 -32.4163330227043,-63.2781154124681 -32.4161531519287,-63.2782038316531 -32.4159705062511,-63.2795023524362 -32.4147993063123,-63.2798033257309 -32.4146088076739,-63.2799891150649 -32.414515964927,-63.2801788257232 -32.4144290122523,-63.2803721966266 -32.4143480735003,-63.2805689647032 -32.4142732565656,-63.2807688597351 -32.4142046655076,-63.2809716088765 -32.4141423928349,-63.281176935369 -32.4140865239111,-63.2813845559391 -32.4140371347596,-63.2815941892352 -32.4139942925946,-63.2818055480491 -32.4139580585913,-63.2820183392887 -32.4139284790791,-63.2822322782933 -32.4139055987194,-63.2824470667229 -32.4138894445936,-63.2826624127147 -32.4138800399179,-63.2828780217839 -32.4138773991101,-63.2830935961707 -32.4138815266905,-63.2833088458603 -32.4138924139544,-63.2834487557854 -32.4139456708389,-63.283585259428 -32.4140049498794,-63.2837179949053 -32.4140700933897,-63.2838466191012 -32.4141409287819,-63.2839707875551 -32.4142172697125,-63.2840901700292 -32.414298914396,-63.2842044595971 -32.4143856472353,-63.2843133512421 -32.4144772421722,-63.2844165574126 -32.4145734571482,-63.2845138047894 -32.4146740379643,-63.2846048420759 -32.4147787193641,-63.2846894263683 -32.4148872239633,-63.2847673342059 -32.4149992682795,-63.2848383583108 -32.4151145577852,-63.2849023173196 -32.4152327863357,-63.2849590389307 -32.4153536417106,-63.2850083728916 -32.4154768088869,-63.2850501890207 -32.4156019595858,-63.2850843811447 -32.415728766574,-63.2851108534514 -32.4158568965391,-63.2851295405954 -32.4159860072922,-63.285140394772 -32.4161157637585,-63.2851433804726 -32.416245820927,-63.2850444254682 -32.4163873140983,-63.2849526054864 -32.4165322282296,-63.2848680903883 -32.4166803037192,-63.2847910253747 -32.4168312788189,-63.2847215510611 -32.4169848769294,-63.284659789278 -32.4171408308494,-63.2846058540277 -32.4172988590841,-63.2845598398436 -32.41745867853,-63.2845218276262 -32.4176200033616,-63.2844918859548 -32.4177825494305,-63.2844700691018 -32.4179460221622,-63.2844564144842 -32.4181101314214,-63.2844509517194 -32.4182745826862,-63.2844536851206 -32.4184390820404,-63.2844646112198 -32.418603337235,-63.284483708382 -32.418767056611,-63.2845109484581 -32.4189299408168,-63.2845462786962 -32.4190917081675,-63.2845896346128 -32.419252061042,-63.2846409426884 -32.4194107177994,-63.2847001112171 -32.4195673918848,-63.2847670303547 -32.4197218072408,-63.2848415850561 -32.4198736856188,-63.2849236375865 -32.4200227565259,-63.2849858034571 -32.4201118916213,-63.2850548127346 -32.4201973247031,-63.285130361224 -32.4202786832856,-63.2852121149118 -32.4203556059578,-63.2852997119298 -32.4204277478835,-63.2853927678052 -32.4204947995029,-63.2854908701722 -32.4205564557225,-63.2855935834242 -32.4206124505801,-63.2857004544784 -32.4206625335647,-63.2858110141132 -32.4207064817223,-63.2859247711483 -32.4207441062742,-63.2860412214834 -32.4207752377361,-63.2861598559162 -32.4207997358076,-63.2862801484839 -32.4208174960031,-63.2864015616288 -32.420828441385,-63.2865235669479 -32.4208325175626,-63.2866456212486 -32.420829713111,-63.2867671885406 -32.4208200369557,-63.2868877258056 -32.4208035327144,-63.2870067043862 -32.4207802703929,-63.2871235989857 -32.4207503563166,-63.2872378921835 -32.4207139243145,-63.2873490815596 -32.4206711312993,-63.2874566725848 -32.4206221660896,-63.2875601902994 -32.4205672488329,-63.2876591753807 -32.4205066183555,-63.2877531971605 -32.4204405447911,-63.2878418334732 -32.4203693180689,-63.2879246979445 -32.4202932588584,-63.288001420446 -32.4202126938465,-63.2880716614613 -32.4201279843246,-63.2881351185087 -32.4200395052589,-63.2881915001873 -32.4199476458998,-63.2882405651216 -32.4198528135455,-63.288282092078 -32.4197554226025,-63.2883159027259 -32.4196559104939,-63.2883240858428 -32.4195045213089,-63.2883401991628 -32.4193535900578,-63.2883642053151 -32.4192034162345,-63.2883960571838 -32.4190542955008,-63.288435692732 -32.4189065241017,-63.2884830304351 -32.4187603911706,-63.2885379796932 -32.4186161880617,-63.2886004330201 -32.4184742006629,-63.2886702679868 -32.4183347082907,-63.2887473407352 -32.4181979842551,-63.2888315015738 -32.4180643029796,-63.2889225845554 -32.4179339273658,-63.28902041074 -32.4178071142904,-63.2891247868929 -32.4176841135073,-63.2892355035475 -32.4175651704038,-63.2893523421236 -32.4174505199309,-63.2894750762289 -32.4173403877007,-63.2896034593282 -32.4172349894645,-63.289737237101 -32.4171345398913,-63.2898761473737 -32.4170392316526,-63.2900199156416 -32.4169492552474,-63.2901682550295 -32.4168647868938,-63.290313328856 -32.4167928285077,-63.290462380132 -32.4167269794515,-63.2906150538126 -32.4166674001426,-63.2907709837639 -32.4166142317619,-63.2909297940764 -32.4165676012042,-63.2910911049081 -32.4165276221657,-63.2912545311737 -32.4164943912945,-63.2914196805875 -32.4164679848929,-63.291586153049 -32.4164484699263,-63.2917535542318 -32.4164358924345,-63.2919214787233 -32.4164302808723,-63.2920895282027 -32.4164316493701,-63.2922572958593 -32.4164399950181,-63.292424380667 -32.4164552978333,-63.2925903841412 -32.4164775213171,-63.2927549038371 -32.4165066086177,-63.2929175457208 -32.4165424957112,-63.2930779228174 -32.4165850948919,-63.2932356493975 -32.4166343030427,-63.2933903481146 -32.4166900016176,-63.293541644163 -32.4167520561052,-63.2936891763207 -32.4168203198554,-63.2938325943426 -32.416894630783,-63.2939715498556 -32.4169748047842,-63.294105710693 -32.417060654416,-63.2942347582551 -32.4171519751427,-63.2943564728383 -32.4173958754855,-63.2944711096759 -32.4176422304593,-63.2945786033531 -32.4178908927322,-63.2946788890926 -32.4181417122178,-63.2947719073093 -32.4183945399176,-63.2948575990502 -32.4186492224274,-63.2949359157441 -32.4189056068679,-63.2950068114171 -32.4191635414535,-63.2950702387846 -32.419422871098,-63.2951261635348 -32.4196834395831,-63.2951745513615 -32.4199450928905,-63.2952153744226 -32.4202076698306,-63.2952486048984 -32.4204710163674,-63.2952742279371 -32.4207349756815,-63.2952922563553 -32.4208405671491,-63.2953181735237 -32.4209449727497,-63.2953518703725 -32.4210477694858,-63.29539321772 -32.4211485360573,-63.2954420397095 -32.4212468661323,-63.2954981436393 -32.421342362224,-63.2955613004857 -32.4214346329838,-63.295631254685 -32.4215233080396,-63.2957077195602 -32.4216080286499,-63.2957903902936 -32.4216884460223,-63.2958789271105 -32.4217642384157,-63.2959729721063 -32.4218350973406,-63.2960721440814 -32.421900735828,-63.2961760404852 -32.4219608873239,-63.2962842426088 -32.4220153062277,-63.2963963058641 -32.4220637717682,-63.296511783796 -32.4221060884976,-63.2966302008296 -32.4221420869063,-63.2967510801636 -32.4221716200548,-63.2968739282017 -32.4221945652622,-63.2969982514505 -32.4222108317713,-63.2971235435215 -32.4222203547257,-63.2972492935569 -32.4222230918472,-63.2973749966504 -32.4222190349697,-63.2975001408355 -32.4222081996124,-63.2976242174883 -32.4221906310094,-63.2978746183149 -32.4220912749555,-63.2981214414108 -32.4219856805212,-63.2983644780833 -32.421873936834,-63.298603509308 -32.4217561473572,-63.2988383270756 -32.4216324094748,-63.2990687234314 -32.421502835983,-63.299294502743 -32.4213675363472,-63.2995154622804 -32.4212266310583,-63.2997314123141 -32.4210802460811,-63.2999421598689 -32.4209285057377,-63.3001475249715 -32.4207715403741,-63.3003473225113 -32.4206094952094,-63.3005413855238 -32.4204425071641,-63.3007295334546 -32.4202707230985,-63.3009116117134 -32.4200942909117,-63.301087454721 -32.4199133700873,-63.301256910517 -32.4197281162238,-63.3014198349477 -32.4195386898541,-63.301576078704 -32.4193452608799,-63.3017255054477 -32.4191479958692,-63.2939781484885 -32.4136596864578,-63.2938650173572 -32.4135788197861,-63.2937468040462 -32.4135033713239,-63.2936238654861 -32.4134335642334,-63.293496577402 -32.4133696161301,-63.293365324508 -32.4133117165399,-63.2933543096769 -32.4133074953859,-63.2860201419487 -32.4081350810372,-63.2836025063635 -32.4064706146814,-63.2819203405365 -32.4054593323489,-63.2815360788345 -32.4052470117842,-63.2811474801804 -32.4050404501785,-63.2807546673394 -32.4048397088624,-63.2803577578847 -32.4046448497298,-63.2799568784702 -32.4044559352057,-63.2795521518381 -32.4042730227716,-63.279143702018 -32.4040961677057,-63.2787316517367 -32.4039254247402,-63.2783161334494 -32.4037608485869,-63.2778972731032 -32.4036024884695,-63.277475199232 -32.4034503919563,-63.2770500423147 -32.4033046071633,-63.2766219341182 -32.4031651800034,-63.2761910070432 -32.403032152537,-63.2757573921886 -32.4029055662788,-63.275321223234 -32.4027854588865,-63.2748826371052 -32.4026718696637,-63.2744417674586 -32.4025648302172,-63.2739987505582 -32.4024643771038,-63.2735901670884 -32.4023771825297,-63.2731796340883 -32.4022968426558,-63.272767313109 -32.4022233895868,-63.2723533663308 -32.402156849374,-63.2719379533449 -32.4020972508281,-63.2715212343686 -32.4020446156057,-63.2711033747997 -32.4019989626022,-63.270684534199 -32.4019603118283,-63.270264876006 -32.4019286788856,-63.2698445649351 -32.4019040722199,-63.2694237624747 -32.4018865063404,-63.2690026339754 -32.4018759858431,-63.2685813421894 -32.401872514231,-63.2681600524589 -32.4018760933525,-63.2677389275227 -32.4018867223119,-63.2673181333541 -32.4019043969064,-63.266897830075 -32.4019291085445,-63.2639541304784 -32.4049927589886,-63.2607753539504 -32.4069148869352)))";"0";MUNICERCA  5;Los Abedules y Demichelis;0353-4618614
"MULTIPOLYGON (((-63.2545141805536 -32.4009544814965,-63.2629574577646 -32.3916991826465,-63.2576457683994 -32.3888205458954,-63.2544309768732 -32.3923128541154,-63.2492023132571 -32.389339754279,-63.2521477671444 -32.3858338813463,-63.2513573631769 -32.3831434747835,-63.249116741282 -32.3855515263793,-63.2450733975976 -32.3874412749874,-63.2410800265795 -32.3852878775623,-63.2404365287899 -32.3851581308134,-63.2410953648018 -32.3874645371578,-63.2415271877376 -32.3889761669457,-63.2420190272787 -32.3901103444784,-63.243317994855 -32.3951809257407,-63.2436746844786 -32.3961808699927,-63.2475648459099 -32.3986700411653,-63.2487699420643 -32.3973153585816,-63.2545141805536 -32.4009544814965)))";"0";MUNICERCA  8;Bv. Velez Sarsfield e Italia;0353-4618616
