Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,1,42.968,-0.125,45.125,-0.241,,,31.487,16.166
2,1,18.509,-1.908,8.975,0.316,,,16.969,12.002
3,1,41.524,0.301,59.698,-0.444,,,41.524,15.436
4,1,6.257,0.64,6.022,0.667,,,7.709,6.256
5,1,36.863,0.498,61.937,-0.416,,,36.839,14.831
