Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,1,10.849,0.739,15.31,0.48,,,7.78,4.241
2,1,8.212,0.893,21.033,0.297,,,8.533,5.418
3,1,4.223,0.651,3.815,0.715,,,3.315,2.472
4,1,22.757,0.635,33.365,0.214,,,22.835,9.766
5,1,5.808,0.939,16.135,0.528,,,4.183,2.715
