Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,4,17.858,0.281,29.746,-0.995,,,13.506,7.845
2,4,13.472,0.475,25.52,-0.883,,,12.288,7.7
3,4,31.579,0.383,60.096,-1.234,,,31.579,13.391
4,4,4.846,-0.174,3.904,0.238,,,5.001,3.381
5,4,10.618,0.656,24.459,-0.823,,,9.803,4.518
