Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,3,13.008,0.619,27.132,-0.657,,,9.42,5.235
2,3,9.615,0.734,23.936,-0.646,,,9.812,6.96
3,3,18.934,0.766,45.578,-0.354,,,19.597,11.153
4,3,3.158,-1.559,31.104,-247.236,,,2.963,1.696
5,3,10.983,0.62,23.299,-0.711,,,10.168,4.511
