Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,4,43.807,-0.174,61.484,-1.312,,,42.729,19.243
2,4,37.87,0.175,58.887,-0.996,,,38.699,16.081
3,4,72.538,-0.07,108.714,-1.404,,,72.538,31.361
4,4,5.994,0.521,11.065,-0.632,,,4.589,3.682
5,4,27.979,0.345,49.92,-1.085,,,22.399,8.826
