Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,1,10.605,0.724,14.76,0.465,,,7.773,4.305
2,1,9.795,0.801,18.395,0.297,,,10.175,6.112
3,1,3.841,0.7,3.691,0.723,,,3.232,2.44
4,1,17.925,0.659,26.957,0.229,,,17.636,7.412
5,1,5.672,0.567,5.977,0.519,,,4.149,2.035
