Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,2,43.178,-0.138,56.006,-0.915,,,30.039,14.656
2,2,30.688,0.431,56.564,-0.932,,,28.712,20.145
3,2,8.531,-26.662,2.23,-0.89,,,8.914,5.672
4,2,56.478,0.357,105.383,-1.237,,,56.478,24.551
5,2,19.211,0.629,40.84,-0.675,,,14.98,7.26
