Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,4,22.605,-0.041,31.084,-0.968,,,15.47,7.913
2,4,13.112,0.621,29.136,-0.874,,,12.607,8.011
3,4,20.247,0.759,61.683,-1.234,,,20.247,10.28
4,4,5.783,0.369,5.88,0.348,,,6.098,5.124
5,4,18.381,0.697,45.357,-0.848,,,17.423,7.736
