Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,3,19.73,0.208,28.389,-0.639,,,13.069,6.924
2,3,13.38,0.609,27.351,-0.635,,,11.32,6.954
3,3,17.864,0.802,46.782,-0.355,,,18.49,11.708
4,3,2.95,-1.152,31.926,-250.953,,,2.589,1.522
5,3,11.801,0.871,42.567,-0.684,,,11.516,6.269
