Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,2,9.554,0.795,23.797,-0.273,,,7.3,4.459
2,2,8.074,0.812,22.264,-0.426,,,7.666,5.353
3,2,5.267,0.485,5.276,0.483,,,4.802,3.488
4,2,10.761,0.913,46.0,-0.588,,,10.761,4.846
5,2,8.282,0.782,21.533,-0.473,,,6.262,3.388
