Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,2,39.615,0.141,58.867,-0.897,,,26.333,10.726
2,2,24.759,0.719,64.661,-0.914,,,25.818,18.35
3,2,6.166,-11.845,2.429,-0.993,,,6.312,3.744
4,2,65.578,0.178,108.165,-1.237,,,65.578,29.132
5,2,29.505,0.638,63.222,-0.661,,,20.498,9.197
