t_end,h,poiss,rmse_w,rmse_peak
18,1,1047.1244336219293,3.3726843908080104,
18,2,1165.4640286496078,3.1931847067026826,
18,4,1215.2609079319684,2.9958239161816276,
19,1,118.33959502767846,0.6123724356957945,
19,2,157.78612670357128,0.5590169943469966,
19,4,278.8983104514895,0.6681531047104277,
20,1,39.44653167589282,0.3535533905932738,
20,2,160.55871542381107,0.7071067811423534,
20,4,160.55871542381107,0.7071067809655767,
21,1,121.11218374791824,0.7905694150420949,
21,2,121.11218374791824,0.7905694149103333,
21,4,121.11218374791824,0.7905694146468101,
22,1,0.0,0.0,
22,2,0.0,0.0,
23,1,0.0,0.0,
23,2,0.0,0.0,
24,1,0.0,0.0,
