Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,3,43.161,-0.135,59.908,-1.187,,,41.862,18.838
2,3,36.294,0.221,60.673,-1.176,,,37.315,15.773
3,3,73.248,-0.082,70.68,-0.007,,,94.1,54.624
4,3,9.831,0.456,83.934,-38.66,,,9.831,5.448
5,3,19.636,0.669,47.243,-0.917,,,17.202,9.293
