,CGC 1,CGC 2,MUNICERCA 1,MUNICERCA 2,MUNICERCA 3,MUNICERCA 4,MUNICERCA 5,ZONA CENTRAL
CGC 1,0.2,0.0,0.0,0.0,0.4,0.4,0.0,0.0
CGC 2,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0
MUNICERCA 1,0.0,0.0,0.2,0.26666666666666666,0.0,0.0,0.0,0.5333333333333333
MUNICERCA 2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.4
MUNICERCA 3,0.08000000000000002,0.0,0.0,0.16000000000000003,0.2,0.16000000000000003,0.0,0.4
MUNICERCA 4,0.11428571428571428,0.0,0.0,0.0,0.34285714285714286,0.2,0.17142857142857143,0.17142857142857143
MUNICERCA 5,0.0,0.22857142857142856,0.0,0.0,0.0,0.45714285714285713,0.2,0.11428571428571428
ZONA CENTRAL,0.0,0.11428571428571428,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.28571428571428575,0.11428571428571428,0.2
