Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,4,34.525,0.271,61.484,-1.312,,,33.974,17.464
2,4,13.163,0.9,58.887,-0.996,,,13.049,8.723
3,4,74.609,-0.132,108.714,-1.404,,,74.609,32.013
4,4,10.711,-0.53,11.065,-0.632,,,3.563,2.312
5,4,9.556,0.924,49.92,-1.085,,,9.606,5.475
