Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,2,61.419,-1.303,56.006,-0.915,,,51.305,22.529
2,2,22.455,0.695,56.564,-0.932,,,23.212,16.213
3,2,6.143,-13.345,2.23,-0.89,,,6.356,4.829
4,2,41.249,0.657,105.383,-1.237,,,41.249,23.408
5,2,19.632,0.613,40.84,-0.675,,,12.639,4.913
