Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,4,36.699,0.263,64.548,-1.281,,,34.76,16.456
2,4,17.309,0.868,67.256,-0.994,,,17.19,7.251
3,4,73.322,-0.038,111.584,-1.404,,,73.322,29.498
4,4,2.718,0.963,16.931,-0.437,,,2.539,1.813
5,4,30.88,0.768,93.69,-1.132,,,31.288,14.945
