Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,3,25.639,0.599,59.908,-1.187,,,27.044,16.125
2,3,25.27,0.623,60.673,-1.176,,,26.077,12.336
3,3,72.85,-0.07,70.68,-0.007,,,93.432,50.762
4,3,7.209,0.707,83.934,-38.66,,,7.209,4.007
5,3,15.142,0.803,47.243,-0.917,,,19.254,9.799
