Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,2,37.895,0.214,58.867,-0.897,,,21.407,9.257
2,2,12.7,0.926,64.661,-0.914,,,13.396,9.984
3,2,3.295,-2.668,2.429,-0.993,,,3.349,2.191
4,2,70.183,0.058,108.165,-1.237,,,70.183,32.86
5,2,12.948,0.93,63.222,-0.661,,,8.43,4.481
