Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,1,35.992,0.211,45.125,-0.241,,,28.64,14.54
2,1,12.731,-0.376,8.975,0.316,,,12.211,8.703
3,1,36.039,0.474,59.698,-0.444,,,36.039,15.024
4,1,7.73,0.451,6.022,0.667,,,9.921,8.342
5,1,23.748,0.792,61.937,-0.416,,,23.395,10.191
