Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,1,32.101,0.437,47.633,-0.24,,,21.221,11.441
2,1,9.175,0.478,9.933,0.388,,,9.33,6.732
3,1,25.924,0.792,68.264,-0.444,,,25.924,10.387
4,1,5.833,0.7,6.209,0.66,,,7.488,6.398
5,1,40.624,0.595,76.506,-0.435,,,40.576,14.155
