Fold,h,RMSE_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,RMSE_macro_model,MAE_macro_model
1,3,32.841,0.411,62.86,-1.16,,,31.499,16.348
2,3,34.369,0.467,69.38,-1.174,,,35.483,14.918
3,3,69.244,0.081,72.548,-0.009,,,89.289,50.979
4,3,13.646,0.005,86.15,-38.66,,,13.646,6.624
5,3,21.203,0.888,80.539,-0.615,,,24.205,17.61
